角点序号,RGB像素坐标U,RGB像素坐标V,Depth像素坐标U,Depth像素坐标V,Depth值(mm)
0,245.74,248.17,245.74,248.17,491.00
1,264.44,248.14,264.44,248.14,489.25
2,283.41,248.12,283.41,248.12,488.00
3,302.35,248.09,302.35,248.09,486.50
4,321.45,248.06,321.45,248.06,484.50
5,340.55,248.01,340.55,248.01,482.50
6,359.93,247.96,359.93,247.96,481.00
7,379.49,247.92,379.49,247.92,478.50
8,399.11,247.86,399.11,247.86,477.25
9,418.91,247.81,418.91,247.81,475.25
10,438.89,247.76,438.89,247.76,474.25
11,245.76,267.01,245.76,267.01,491.50
12,264.58,267.11,264.58,267.11,490.00
13,283.42,267.21,283.42,267.21,488.25
14,302.45,267.30,302.45,267.30,486.75
15,321.48,267.34,321.48,267.34,484.25
16,340.61,267.37,340.61,267.37,483.00
17,359.98,267.41,359.98,267.41,481.00
18,379.54,267.43,379.54,267.43,478.75
19,399.16,267.47,399.16,267.47,477.25
20,418.88,267.49,418.88,267.49,476.25
21,438.87,267.54,438.87,267.54,474.50
22,245.89,285.99,245.89,285.99,492.75
23,264.70,286.05,264.70,286.05,490.00
24,283.51,286.23,283.51,286.23,488.25
25,302.46,286.40,302.46,286.40,486.75
26,321.52,286.49,321.52,286.49,485.00
27,340.64,286.56,340.64,286.56,483.50
28,360.06,286.60,360.06,286.60,481.00
29,379.57,286.70,379.57,286.70,479.50
30,399.23,286.81,399.23,286.81,477.50
31,418.81,287.05,418.81,287.05,476.25
32,438.79,287.24,438.79,287.24,474.50
33,246.20,305.02,246.20,305.02,491.75
34,264.82,305.21,264.82,305.21,490.50
35,283.59,305.28,283.59,305.28,488.75
36,302.52,305.46,302.52,305.46,487.00
37,321.55,305.64,321.55,305.64,485.50
38,340.70,305.74,340.70,305.74,484.00
39,360.10,305.91,360.10,305.91,482.25
40,379.63,306.17,379.63,306.17,480.00
41,399.32,306.38,399.32,306.38,477.25
42,418.89,306.50,418.89,306.50,477.00
43,438.73,306.66,438.73,306.66,474.25
44,246.33,323.78,246.33,323.78,492.25
45,264.77,324.07,264.77,324.07,490.50
46,283.74,324.40,283.74,324.40,489.50
47,302.57,324.52,302.57,324.52,487.50
48,321.61,324.80,321.61,324.80,486.25
49,340.75,325.16,340.75,325.16,483.75
50,360.15,325.35,360.15,325.35,482.25
51,379.64,325.50,379.64,325.50,480.25
52,399.31,325.67,399.31,325.67,478.00
53,419.09,326.01,419.09,326.01,477.25
54,438.90,326.35,438.90,326.35,475.25
55,246.36,342.63,246.36,342.63,492.75
56,265.03,343.14,265.03,343.14,491.50
57,283.82,343.28,283.82,343.28,489.50
58,302.72,343.62,302.72,343.62,488.00
59,321.66,343.81,321.66,343.81,485.50
60,340.81,344.22,340.81,344.22,484.25
61,360.25,344.56,360.25,344.56,482.75
62,379.62,344.91,379.62,344.91,480.50
63,399.25,345.28,399.25,345.28,479.25
64,418.91,345.51,418.91,345.51,477.25
65,438.76,345.87,438.76,345.87,475.75
66,246.55,361.53,246.55,361.53,493.25
67,265.26,361.99,265.26,361.99,491.75
68,283.77,362.24,283.77,362.24,490.00
69,302.84,362.63,302.84,362.63,488.25
70,321.73,362.92,321.73,362.92,486.25
71,340.90,363.44,340.90,363.44,484.50
72,360.34,363.71,360.34,363.71,482.75
73,379.65,364.14,379.65,364.14,480.75
74,399.36,364.49,399.36,364.49,479.25
75,419.07,364.83,419.07,364.83,477.25
76,438.91,365.34,438.91,365.34,475.50
77,246.58,380.40,246.58,380.40,493.25
78,265.20,380.71,265.20,380.71,492.00
79,283.95,381.20,283.95,381.20,490.25
80,302.98,381.67,302.98,381.67,488.50
81,321.82,381.99,321.82,381.99,486.25
82,341.03,382.56,341.03,382.56,485.25
83,360.43,382.92,360.43,382.92,483.25
84,379.79,383.41,379.79,383.41,480.75
85,399.36,383.80,399.36,383.80,479.50
86,418.95,384.31,418.95,384.31,477.25
87,438.78,384.73,438.78,384.73,476.25
