角点序号,RGB像素坐标U,RGB像素坐标V,Depth像素坐标U,Depth像素坐标V,Depth值(mm)
0,150.22,256.73,150.22,256.73,419.25
1,173.35,259.64,173.35,259.64,425.75
2,195.68,262.49,195.68,262.49,434.25
3,217.42,265.22,217.42,265.22,440.75
4,238.42,267.79,238.42,267.79,447.00
5,258.71,270.40,258.71,270.40,454.00
6,278.57,272.81,278.57,272.81,461.00
7,297.65,275.32,297.65,275.32,468.00
8,316.30,277.61,316.30,277.61,474.75
9,334.36,279.85,334.36,279.85,481.75
10,351.78,282.11,351.78,282.11,489.25
11,146.74,278.73,146.74,278.73,414.50
12,170.26,281.34,170.26,281.34,421.75
13,192.88,283.77,192.88,283.77,428.50
14,214.85,286.31,214.85,286.31,435.75
15,236.15,288.57,236.15,288.57,442.25
16,256.68,290.82,256.68,290.82,449.00
17,276.73,293.02,276.73,293.02,456.00
18,296.14,295.18,296.14,295.18,464.00
19,314.86,297.25,314.86,297.25,470.25
20,333.16,299.26,333.16,299.26,476.75
21,350.77,301.21,350.77,301.21,483.75
22,143.31,301.30,143.31,301.30,410.00
23,167.03,303.47,167.03,303.47,417.00
24,190.02,305.66,190.02,305.66,423.75
25,212.33,307.69,212.33,307.69,430.75
26,233.77,309.71,233.77,309.71,437.75
27,254.64,311.71,254.64,311.71,444.75
28,274.84,313.62,274.84,313.62,451.25
29,294.52,315.49,294.52,315.49,458.50
30,313.51,317.28,313.51,317.28,465.75
31,331.88,318.95,331.88,318.95,472.50
32,349.79,320.63,349.79,320.63,478.75
33,139.65,324.32,139.65,324.32,404.50
34,163.77,326.15,163.77,326.15,412.25
35,187.04,327.95,187.04,327.95,418.75
36,209.63,329.63,209.63,329.63,425.75
37,231.42,331.42,231.42,331.42,432.75
38,252.58,332.98,252.58,332.98,440.25
39,272.99,334.56,272.99,334.56,446.75
40,292.82,336.15,292.82,336.15,454.25
41,312.12,337.60,312.12,337.60,461.25
42,330.67,339.07,330.67,339.07,468.50
43,348.75,340.45,348.75,340.45,475.75
44,136.06,347.81,136.06,347.81,400.25
45,160.45,349.38,160.45,349.38,407.25
46,184.06,350.73,184.06,350.73,414.50
47,206.89,352.23,206.89,352.23,421.50
48,229.00,353.49,229.00,353.49,428.75
49,250.38,354.75,250.38,354.75,435.50
50,271.13,356.01,271.13,356.01,442.75
51,291.18,357.29,291.18,357.29,449.25
52,310.62,358.44,310.62,358.44,456.75
53,329.47,359.56,329.47,359.56,462.75
54,347.75,360.66,347.75,360.66,470.00
55,132.25,371.91,132.25,371.91,395.50
56,157.03,373.05,157.03,373.05,402.75
57,180.93,374.08,180.93,374.08,410.00
58,204.21,375.12,204.21,375.12,416.75
59,226.53,376.10,226.53,376.10,424.25
60,248.20,377.03,248.20,377.03,430.50
61,269.17,377.94,269.17,377.94,437.00
62,289.43,378.76,289.43,378.76,444.50
63,309.19,379.65,309.19,379.65,450.75
64,328.22,380.53,328.22,380.53,458.75
65,346.70,381.37,346.70,381.37,466.00
66,128.39,396.63,128.39,396.63,391.50
67,153.53,397.36,153.53,397.36,397.75
68,177.75,397.94,177.75,397.94,405.00
69,201.33,398.57,201.33,398.57,412.00
70,223.99,399.16,223.99,399.16,419.00
71,245.89,399.71,245.89,399.71,425.50
72,267.17,400.32,267.17,400.32,433.50
73,287.65,400.75,287.65,400.75,440.00
74,307.61,401.38,307.61,401.38,447.50
75,326.82,401.95,326.82,401.95,453.25
76,345.63,402.37,345.63,402.37,462.00
77,124.42,421.89,124.42,421.89,386.50
78,149.98,422.22,149.98,422.22,393.50
79,174.60,422.40,174.60,422.40,400.50
80,198.42,422.52,198.42,422.52,406.50
81,221.41,422.70,221.41,422.70,414.25
82,243.59,422.88,243.59,422.88,421.75
83,265.13,423.14,265.13,423.14,427.75
84,285.91,423.43,285.91,423.43,436.00
85,306.06,423.45,306.06,423.45,442.25
86,325.55,423.67,325.55,423.67,449.25
87,344.51,423.87,344.51,423.87,456.50
