角点序号	像素坐标 U	像素坐标 V	相机坐标 X(mm)	相机坐标 Y(mm)	相机坐标 Z(mm)	相邻距离(mm)
0	1454.69	1812.71	-17.087	125.239	720.003	14.980
1	1385.73	1760.10	-28.986	116.139	720.003	14.989
2	1316.72	1707.40	-40.890	107.029	720.003	15.003
3	1247.68	1654.57	-52.800	97.906	720.003	15.014
4	1178.57	1601.71	-64.722	88.780	720.003	15.010
5	1109.49	1548.83	-76.642	79.658	720.003	15.031
6	1040.32	1495.90	-88.582	70.527	720.003	15.033
7	971.24	1442.87	-100.514	61.382	720.003	15.052
8	902.04	1389.85	-112.471	52.239	720.003	15.062
9	832.89	1336.76	-124.429	43.083	720.003	15.065
10	763.75	1283.70	-136.396	33.930	720.003	15.065
11	1507.66	1744.23	-7.942	113.384	720.003	14.992
12	1438.65	1691.52	-19.846	104.271	720.003	14.990
13	1369.67	1638.73	-31.743	95.151	720.003	15.007
14	1300.60	1585.87	-43.655	86.024	720.003	15.000
15	1231.54	1533.04	-55.566	76.908	720.003	15.033
16	1162.34	1480.06	-67.504	67.769	720.003	15.020
17	1093.27	1427.05	-79.422	58.628	720.003	15.049
18	1024.06	1373.99	-91.371	49.479	720.003	15.048
19	954.89	1320.93	-103.318	40.330	720.003	15.060
20	885.74	1267.82	-115.272	31.171	720.003	15.073
21	816.59	1214.67	-127.235	22.002	720.003	15.073
22	1560.64	1675.55	1.199	101.505	720.003	14.983
23	1491.70	1622.79	-10.692	92.388	720.003	14.997
24	1422.67	1569.96	-22.595	83.265	720.003	15.000
25	1353.61	1517.12	-34.503	74.144	720.003	15.016
26	1284.48	1464.18	-46.423	65.011	720.003	15.017
27	1215.37	1411.19	-58.340	55.874	720.003	15.035
28	1146.20	1358.14	-70.273	46.727	720.003	15.045
29	1077.03	1305.02	-82.210	37.569	720.003	15.063
30	1007.81	1251.86	-94.164	28.404	720.003	15.057
31	938.65	1198.75	-106.114	19.245	720.003	15.075
32	869.47	1145.58	-118.077	10.072	720.003	15.075
33	1613.68	1606.87	10.348	89.637	720.003	14.994
34	1544.70	1554.05	-1.550	80.512	720.003	14.984
35	1475.72	1501.26	-13.444	71.398	720.003	15.012
36	1406.63	1448.29	-25.354	62.259	720.003	15.015
37	1337.52	1395.31	-37.268	53.122	720.003	15.033
38	1268.35	1342.22	-49.194	43.969	720.003	15.025
39	1199.25	1289.15	-61.111	34.820	720.003	15.055
40	1129.99	1236.02	-73.060	25.660	720.003	15.050
41	1060.84	1182.86	-84.997	16.495	720.003	15.070
42	991.60	1129.69	-96.957	7.325	720.003	15.074
43	922.42	1076.50	-108.916	-1.851	720.003	15.074
44	1666.74	1538.12	19.496	77.763	720.003	14.986
45	1597.82	1485.26	7.610	68.636	720.003	14.998
46	1528.80	1432.36	-4.289	59.506	720.003	15.009
47	1459.74	1379.37	-16.195	50.367	720.003	15.023
48	1390.61	1326.30	-28.110	41.215	720.003	15.024
49	1321.49	1273.22	-40.025	32.065	720.003	15.039
50	1252.29	1220.10	-51.956	22.909	720.003	15.047
51	1183.13	1166.90	-63.886	13.738	720.003	15.063
52	1113.86	1113.75	-75.841	4.574	720.003	15.070
53	1044.66	1060.51	-87.790	-4.608	720.003	15.075
54	975.44	1007.34	-99.752	-13.783	720.003	15.075
55	1719.95	1469.30	28.668	65.887	720.003	15.004
56	1650.96	1416.35	16.770	56.746	720.003	14.994
57	1582.00	1363.40	4.881	47.610	720.003	15.024
58	1512.85	1310.36	-7.038	38.464	720.003	15.015
59	1443.77	1257.29	-18.944	29.315	720.003	15.038
60	1374.58	1204.15	-30.869	20.155	720.003	15.038
61	1305.44	1150.96	-42.789	10.987	720.003	15.052
62	1236.22	1097.76	-54.725	1.816	720.003	15.058
63	1167.01	1044.56	-66.667	-7.358	720.003	15.071
64	1097.76	991.36	-78.622	-16.534	720.003	15.078
65	1028.54	938.14	-90.580	-25.719	720.003	15.078
66	1773.10	1400.35	37.828	53.992	720.003	14.987
67	1704.48	1347.06	25.994	44.795	720.003	15.016
68	1635.09	1294.44	14.031	35.719	720.003	15.013
69	1566.09	1241.30	2.138	26.557	720.003	15.029
70	1496.93	1188.20	-9.782	17.403	720.003	15.038
71	1427.76	1135.00	-21.701	8.234	720.003	15.042
72	1358.59	1081.80	-33.625	-0.936	720.003	15.051
73	1289.39	1028.59	-45.557	-10.109	720.003	15.059
74	1220.16	975.38	-57.498	-19.285	720.003	15.074
75	1150.92	922.13	-69.449	-28.471	720.003	15.088
76	1081.68	868.83	-81.407	-37.671	720.003	15.088
77	1826.27	1331.41	46.993	42.103	720.003	14.995
78	1757.38	1278.39	35.112	32.956	720.003	15.010
79	1688.37	1225.34	23.212	23.807	720.003	15.036
80	1619.25	1172.12	11.300	14.633	720.003	15.012
81	1550.17	1119.06	-0.606	5.487	720.003	15.049
82	1480.95	1065.83	-12.534	-3.688	720.003	15.036
83	1411.81	1012.63	-24.451	-12.858	720.003	15.062
84	1342.55	959.38	-36.392	-22.039	720.003	15.057
85	1273.35	906.15	-48.326	-31.220	720.003	15.080
86	1204.12	852.83	-60.274	-40.420	720.003	15.088
87	1134.86	799.56	-72.233	-49.619	720.003	15.088
