角点序号,RGB像素坐标U,RGB像素坐标V,Depth像素坐标U,Depth像素坐标V,Depth值(mm)
0,119.46,30.58,119.46,30.58,N/A
1,148.02,31.24,148.02,31.24,353.75
2,175.48,31.74,175.48,31.74,360.50
3,201.95,32.33,201.95,32.33,366.50
4,227.38,32.74,227.38,32.74,374.00
5,251.94,33.32,251.94,33.32,380.50
6,275.62,33.62,275.62,33.62,387.75
7,298.54,34.09,298.54,34.09,394.25
8,320.64,34.59,320.64,34.59,401.50
9,342.08,35.08,342.08,35.08,407.50
10,362.70,35.39,362.70,35.39,415.25
11,123.65,59.02,123.65,59.02,N/A
12,151.34,59.01,151.34,59.01,364.00
13,177.98,59.07,177.98,59.07,370.75
14,203.59,59.04,203.59,59.04,377.75
15,228.39,59.08,228.39,59.08,384.00
16,252.39,59.01,252.39,59.01,390.75
17,275.42,59.16,275.42,59.16,397.75
18,297.64,59.06,297.64,59.06,404.25
19,319.32,59.05,319.32,59.05,411.25
20,340.19,59.05,340.19,59.05,418.50
21,360.37,59.07,360.37,59.07,425.25
22,127.67,85.71,127.67,85.71,368.00
23,154.49,85.33,154.49,85.33,374.00
24,180.39,84.81,180.39,84.81,380.75
25,205.36,84.45,205.36,84.45,387.25
26,229.36,83.97,229.36,83.97,394.75
27,252.63,83.58,252.63,83.58,401.25
28,275.18,83.25,275.18,83.25,408.50
29,296.80,82.78,296.80,82.78,414.75
30,317.93,82.42,317.93,82.42,422.50
31,338.34,82.07,338.34,82.07,427.75
32,358.09,81.72,358.09,81.72,436.25
33,131.44,111.13,131.44,111.13,377.50
34,157.46,110.23,157.46,110.23,384.25
35,182.59,109.34,182.59,109.34,390.75
36,206.80,108.46,206.80,108.46,398.25
37,230.32,107.61,230.32,107.61,404.50
38,252.83,106.76,252.83,106.76,411.75
39,274.84,106.18,274.84,106.18,418.50
40,296.10,105.38,296.10,105.38,425.25
41,316.63,104.59,316.63,104.59,432.50
42,336.55,103.84,336.55,103.84,439.00
43,355.87,103.31,355.87,103.31,445.50
44,135.06,135.02,135.06,135.02,388.50
45,160.31,133.70,160.31,133.70,394.75
46,184.67,132.48,184.67,132.48,402.00
47,208.33,131.34,208.33,131.34,408.00
48,231.23,130.13,231.23,130.13,415.50
49,253.26,128.99,253.26,128.99,422.25
50,274.60,127.82,274.60,127.82,429.00
51,295.36,126.75,295.36,126.75,435.25
52,315.48,125.70,315.48,125.70,442.50
53,334.88,124.71,334.88,124.71,449.50
54,353.80,123.74,353.80,123.74,456.50
55,138.43,157.70,138.43,157.70,397.75
56,162.98,156.14,162.98,156.14,405.00
57,186.68,154.49,186.68,154.49,412.00
58,209.71,152.98,209.71,152.98,419.00
59,231.87,151.45,231.87,151.45,425.00
60,253.50,150.04,253.50,150.04,432.50
61,274.40,148.64,274.40,148.64,439.50
62,294.66,147.32,294.66,147.32,446.75
63,314.35,145.94,314.35,145.94,452.50
64,333.34,144.65,333.34,144.65,460.00
65,351.78,143.47,351.78,143.47,465.50
66,141.60,179.26,141.60,179.26,409.25
67,165.52,177.38,165.52,177.38,415.75
68,188.62,175.40,188.62,175.40,422.25
69,211.08,173.59,211.08,173.59,429.50
70,232.78,171.83,232.78,171.83,436.25
71,253.68,170.11,253.68,170.11,443.25
72,274.20,168.40,274.20,168.40,449.00
73,294.06,166.74,294.06,166.74,456.50
74,313.25,165.27,313.25,165.27,463.00
75,331.79,163.67,331.79,163.67,470.00
76,349.92,162.25,349.92,162.25,476.25
77,144.60,199.71,144.60,199.71,418.75
78,167.94,197.51,167.94,197.51,426.00
79,190.50,195.41,190.50,195.41,432.75
80,212.36,193.27,212.36,193.27,439.00
81,233.47,191.23,233.47,191.23,446.25
82,253.94,189.28,253.94,189.28,453.75
83,274.08,187.37,274.08,187.37,460.00
84,293.39,185.50,293.39,185.50,466.75
85,312.18,183.68,312.18,183.68,473.50
86,330.40,181.94,330.40,181.94,480.00
87,348.16,180.28,348.16,180.28,487.00
