角点序号,RGB像素坐标U,RGB像素坐标V,Depth像素坐标U,Depth像素坐标V,Depth值(mm)
0,185.24,324.21,185.24,324.21,528.50
1,196.50,318.12,196.50,318.12,522.50
2,209.58,311.02,209.58,311.02,516.75
3,223.54,303.52,223.54,303.52,508.75
4,237.53,295.96,237.53,295.96,501.50
5,251.96,288.24,251.96,288.24,495.00
6,266.83,280.22,266.83,280.22,488.25
7,282.07,272.02,282.07,272.02,481.00
8,297.59,263.60,297.59,263.60,474.75
9,313.61,254.98,313.61,254.98,467.50
10,330.18,246.07,330.18,246.07,460.50
11,194.85,337.24,194.85,337.24,536.00
12,207.68,330.65,207.68,330.65,529.75
13,220.96,323.68,220.96,323.68,522.50
14,234.70,316.59,234.70,316.59,516.25
15,248.84,309.25,248.84,309.25,508.00
16,263.18,301.74,263.18,301.74,502.25
17,278.12,294.02,278.12,294.02,494.50
18,293.27,286.15,293.27,286.15,488.25
19,308.73,278.10,308.73,278.10,480.75
20,324.67,269.72,324.67,269.72,474.50
21,341.19,261.20,341.19,261.20,467.25
22,208.16,348.31,208.16,348.31,542.00
23,218.85,342.67,218.85,342.67,536.00
24,232.42,335.94,232.42,335.94,529.75
25,245.62,329.33,245.62,329.33,521.50
26,259.89,322.19,259.89,322.19,515.25
27,274.06,314.93,274.06,314.93,508.00
28,288.98,307.50,288.98,307.50,500.75
29,304.12,299.84,304.12,299.84,494.00
30,319.58,292.12,319.58,292.12,487.25
31,335.48,284.12,335.48,284.12,480.50
32,351.80,275.83,351.80,275.83,474.25
33,216.44,360.86,216.44,360.86,550.25
34,229.55,354.63,229.55,354.63,543.50
35,242.61,348.33,242.61,348.33,536.00
36,256.62,341.49,256.62,341.49,528.75
37,270.29,334.83,270.29,334.83,522.00
38,284.86,327.72,284.86,327.72,515.25
39,299.55,320.64,299.55,320.64,508.50
40,314.65,313.32,314.65,313.32,501.00
41,330.12,305.71,330.12,305.71,494.25
42,345.93,298.05,345.93,298.05,487.25
43,362.25,290.15,362.25,290.15,480.25
44,229.66,371.31,229.66,371.31,555.00
45,239.93,366.47,239.93,366.47,549.75
46,252.83,360.25,252.83,360.25,543.00
47,267.23,353.50,267.23,353.50,535.75
48,280.51,347.18,280.51,347.18,528.75
49,295.36,340.30,295.36,340.30,521.75
50,309.97,333.40,309.97,333.40,513.75
51,324.90,326.37,324.90,326.37,508.00
52,340.36,319.10,340.36,319.10,501.25
53,356.14,311.62,356.14,311.62,494.00
54,372.34,304.04,372.34,304.04,486.75
55,237.35,383.32,237.35,383.32,562.75
56,250.61,377.50,250.61,377.50,558.25
57,262.89,372.08,262.89,372.08,549.25
58,277.10,365.34,277.10,365.34,542.50
59,291.03,359.08,291.03,359.08,535.50
60,305.43,352.49,305.43,352.49,528.50
61,320.07,345.80,320.07,345.80,521.50
62,335.11,339.04,335.11,339.04,514.00
63,350.30,332.03,350.30,332.03,507.00
64,366.03,324.89,366.03,324.89,501.25
65,382.20,317.59,382.20,317.59,493.75
66,251.61,393.00,251.61,393.00,568.25
67,260.12,389.96,260.12,389.96,564.00
68,274.10,382.67,274.10,382.67,556.50
69,286.51,376.88,286.51,376.88,549.50
70,301.15,370.64,301.15,370.64,542.00
71,315.46,364.42,315.46,364.42,534.75
72,329.54,357.96,329.54,357.96,528.75
73,344.69,351.47,344.69,351.47,521.25
74,360.09,344.64,360.09,344.64,514.50
75,375.68,337.75,375.68,337.75,507.25
76,391.73,330.65,391.73,330.65,500.75
77,256.43,409.78,256.43,409.78,582.00
78,266.01,399.44,266.01,399.44,569.75
79,284.17,394.37,284.17,394.37,562.75
80,295.50,387.76,295.50,387.76,556.50
81,311.47,381.95,311.47,381.95,548.75
82,324.14,375.92,324.14,375.92,542.00
83,339.27,369.67,339.27,369.67,535.25
84,354.18,363.57,354.18,363.57,528.50
85,369.51,356.87,369.51,356.87,521.00
86,385.09,350.37,385.09,350.37,513.50
87,401.08,343.49,401.08,343.49,506.75
