角点序号,RGB像素坐标U,RGB像素坐标V,Depth像素坐标U,Depth像素坐标V,Depth值(mm)
0,162.17,382.42,162.17,382.42,377.25
1,173.62,361.26,173.62,361.26,376.50
2,185.26,339.94,185.26,339.94,374.75
3,196.84,318.50,196.84,318.50,373.50
4,208.61,296.89,208.61,296.89,372.50
5,220.41,275.32,220.41,275.32,371.25
6,232.29,253.38,232.29,253.38,370.00
7,244.27,231.44,244.27,231.44,368.50
8,256.32,209.28,256.32,209.28,367.25
9,268.45,186.93,268.45,186.93,366.25
10,280.59,164.48,280.59,164.48,365.25
11,184.62,393.02,184.62,393.02,380.00
12,196.16,372.09,196.16,372.09,378.75
13,207.69,350.93,207.69,350.93,377.75
14,219.38,329.67,219.38,329.67,376.25
15,231.07,308.36,231.07,308.36,375.25
16,242.84,286.81,242.84,286.81,374.50
17,254.69,265.17,254.69,265.17,373.00
18,266.66,243.38,266.66,243.38,371.25
19,278.71,221.43,278.71,221.43,370.00
20,290.81,199.36,290.81,199.36,368.75
21,303.03,177.14,303.03,177.14,367.75
22,206.80,403.48,206.80,403.48,382.25
23,218.34,382.71,218.34,382.71,381.50
24,229.84,361.77,229.84,361.77,380.50
25,241.51,340.74,241.51,340.74,379.25
26,253.21,319.53,253.21,319.53,377.75
27,264.97,298.29,264.97,298.29,376.50
28,276.83,276.69,276.83,276.69,375.50
29,288.74,255.16,288.74,255.16,374.25
30,300.74,233.41,300.74,233.41,373.00
31,312.86,211.52,312.86,211.52,372.00
32,325.09,189.53,325.09,189.53,370.25
33,228.68,413.79,228.68,413.79,385.50
34,240.18,393.29,240.18,393.29,384.25
35,251.69,372.50,251.69,372.50,382.75
36,263.34,351.58,263.34,351.58,382.25
37,275.02,330.59,275.02,330.59,380.25
38,286.73,309.47,286.73,309.47,379.25
39,298.62,288.19,298.62,288.19,378.00
40,310.55,266.75,310.55,266.75,377.00
41,322.52,245.27,322.52,245.27,375.50
42,334.61,223.53,334.61,223.53,374.50
43,346.76,201.70,346.76,201.70,373.00
44,250.25,424.05,250.25,424.05,388.25
45,261.70,403.56,261.70,403.56,386.75
46,273.32,382.98,273.32,382.98,385.25
47,284.82,362.37,284.82,362.37,384.75
48,296.54,341.50,296.54,341.50,382.75
49,308.32,320.59,308.32,320.59,382.00
50,320.11,299.45,320.11,299.45,380.50
51,331.95,278.27,331.95,278.27,379.75
52,343.96,256.85,343.96,256.85,378.50
53,356.06,235.43,356.06,235.43,377.00
54,368.23,213.78,368.23,213.78,375.75
55,271.54,434.01,271.54,434.01,390.75
56,282.89,413.77,282.89,413.77,389.50
57,294.45,393.46,294.45,393.46,388.50
58,306.14,372.85,306.14,372.85,387.25
59,317.72,352.30,317.72,352.30,385.50
60,329.48,331.52,329.48,331.52,385.00
61,341.29,310.58,341.29,310.58,383.50
62,353.15,289.53,353.15,289.53,382.25
63,365.10,268.40,365.10,268.40,380.75
64,377.15,247.13,377.15,247.13,379.75
65,389.32,225.65,389.32,225.65,378.75
66,292.46,443.96,292.46,443.96,393.75
67,303.90,423.89,303.90,423.89,392.00
68,315.44,403.62,315.44,403.62,391.25
69,326.93,383.38,326.93,383.38,390.00
70,338.57,362.86,338.57,362.86,388.25
71,350.34,342.31,350.34,342.31,387.25
72,362.18,321.56,362.18,321.56,385.75
73,374.00,300.66,374.00,300.66,384.75
74,385.93,279.67,385.93,279.67,383.50
75,397.99,258.58,397.99,258.58,382.00
76,410.12,237.36,410.12,237.36,380.75
77,313.19,453.69,313.19,453.69,N/A
78,324.57,433.80,324.57,433.80,394.75
79,336.12,413.73,336.12,413.73,394.00
80,347.61,393.58,347.61,393.58,392.75
81,359.31,373.35,359.31,373.35,391.00
82,371.08,352.89,371.08,352.89,390.00
83,382.70,332.37,382.70,332.37,388.50
84,394.63,311.66,394.63,311.66,387.00
85,406.54,290.85,406.54,290.85,386.25
86,418.52,269.92,418.52,269.92,385.25
87,430.56,248.89,430.56,248.89,383.75
