角点序号,RGB像素坐标U,RGB像素坐标V,Depth像素坐标U,Depth像素坐标V,Depth值(mm)
0,17.63,136.09,17.63,136.09,N/A
1,55.48,121.88,55.48,121.88,N/A
2,91.83,108.26,91.83,108.26,N/A
3,126.85,95.05,126.85,95.05,N/A
4,160.69,82.33,160.69,82.33,N/A
5,193.32,69.98,193.32,69.98,271.00
6,224.80,58.15,224.80,58.15,276.00
7,255.30,46.61,255.30,46.61,280.75
8,284.78,35.51,284.78,35.51,285.75
9,313.35,24.79,313.35,24.79,290.00
10,340.86,14.37,340.86,14.37,N/A
11,39.12,170.62,39.12,170.62,N/A
12,75.38,156.24,75.38,156.24,N/A
13,110.34,142.35,110.34,142.35,N/A
14,143.94,128.89,143.94,128.89,N/A
15,176.58,116.03,176.58,116.03,274.50
16,207.96,103.51,207.96,103.51,278.75
17,238.43,91.37,238.43,91.37,283.75
18,267.81,79.60,267.81,79.60,288.50
19,296.35,68.32,296.35,68.32,293.25
20,323.88,57.35,323.88,57.35,298.25
21,350.55,46.65,350.55,46.65,302.75
22,59.34,203.08,59.34,203.08,N/A
23,94.12,188.55,94.12,188.55,N/A
24,127.68,174.51,127.68,174.51,N/A
25,160.23,160.94,160.23,160.94,289.50
26,191.50,147.76,191.50,147.76,282.50
27,221.81,135.06,221.81,135.06,287.25
28,251.26,122.74,251.26,122.74,291.75
29,279.66,110.89,279.66,110.89,296.50
30,307.25,99.39,307.25,99.39,301.00
31,333.89,88.23,333.89,88.23,305.75
32,359.77,77.39,359.77,77.39,310.75
33,78.28,233.63,78.28,233.63,N/A
34,111.69,218.98,111.69,218.98,N/A
35,144.16,204.79,144.16,204.79,N/A
36,175.44,191.16,175.44,191.16,285.25
37,205.68,177.85,205.68,177.85,290.25
38,235.01,165.04,235.01,165.04,295.00
39,263.40,152.60,263.40,152.60,299.50
40,290.88,140.57,290.88,140.57,304.50
41,317.58,128.86,317.58,128.86,309.50
42,343.44,117.51,343.44,117.51,313.50
43,368.57,106.52,368.57,106.52,318.75
44,96.22,262.50,96.22,262.50,N/A
45,128.46,247.75,128.46,247.75,N/A
46,159.60,233.56,159.60,233.56,288.75
47,189.82,219.72,189.82,219.72,293.50
48,219.14,206.35,219.14,206.35,297.75
49,247.44,193.41,247.44,193.41,302.50
50,274.91,180.85,274.91,180.85,308.00
51,301.58,168.69,301.58,168.69,312.25
52,327.43,156.83,327.43,156.83,317.00
53,352.50,145.43,352.50,145.43,321.25
54,377.04,134.25,377.04,134.25,326.25
55,113.07,289.74,113.07,289.74,N/A
56,144.28,275.04,144.28,275.04,N/A
57,174.36,260.70,174.36,260.70,296.25
58,203.54,246.85,203.54,246.85,301.25
59,231.80,233.48,231.80,233.48,306.00
60,259.32,220.42,259.32,220.42,310.50
61,285.88,207.79,285.88,207.79,315.50
62,311.69,195.52,311.69,195.52,320.50
63,336.76,183.59,336.76,183.59,324.50
64,361.19,171.97,361.19,171.97,329.25
65,384.92,160.68,384.92,160.68,334.25
66,129.12,315.58,129.12,315.58,N/A
67,159.21,300.80,159.21,300.80,299.25
68,188.35,286.47,188.35,286.47,304.25
69,216.50,272.57,216.50,272.57,309.75
70,243.89,259.11,243.89,259.11,313.75
71,270.56,246.05,270.56,246.05,318.75
72,296.37,233.32,296.37,233.32,323.00
73,321.39,220.95,321.39,220.95,327.75
74,345.70,208.99,345.70,208.99,332.75
75,369.40,197.34,369.40,197.34,337.00
76,392.50,185.96,392.50,185.96,341.50
77,144.31,340.09,144.31,340.09,N/A
78,173.36,325.32,173.36,325.32,307.25
79,201.48,310.92,201.48,310.92,311.50
80,228.79,297.05,228.79,297.05,317.50
81,255.41,283.51,255.41,283.51,321.25
82,281.27,270.39,281.27,270.39,326.25
83,306.27,257.63,306.27,257.63,331.00
84,330.60,245.30,330.60,245.30,335.75
85,354.30,233.24,354.30,233.24,340.25
86,377.30,221.49,377.30,221.49,345.25
87,399.70,210.11,399.70,210.11,349.75
