Index(索引),Score(分数),Width(m)(宽度),Height(m)(高度),Depth(m)(深度),X(m),Y(m),Z(m),Dist_Center(m)(到中心距离)
1,0.5778,0.0572,0.0200,0.0100,-0.0303,-0.0384,0.4272,0.0489
2,0.2880,0.0692,0.0200,0.0100,-0.0331,0.0057,0.4275,0.0336
3,0.2308,0.0478,0.0200,0.0100,-0.0248,-0.0806,0.4272,0.0843
