角点序号,RGB像素坐标U,RGB像素坐标V,Depth像素坐标U,Depth像素坐标V,Depth值(mm)
0,309.57,36.93,309.57,36.93,271.50
1,333.87,62.31,333.87,62.31,278.75
2,357.01,86.32,357.01,86.32,285.50
3,378.94,109.15,378.94,109.15,293.25
4,399.85,130.82,399.85,130.82,300.25
5,419.79,151.54,419.79,151.54,307.75
6,438.79,171.36,438.79,171.36,314.50
7,456.96,190.24,456.96,190.24,321.75
8,474.37,208.25,474.37,208.25,329.00
9,490.96,225.51,490.96,225.51,336.50
10,506.86,242.07,506.86,242.07,343.75
11,286.84,63.60,286.84,63.60,274.00
12,311.58,88.02,311.58,88.02,281.25
13,335.03,111.24,335.03,111.24,288.25
14,357.40,133.26,357.40,133.26,295.25
15,378.62,154.25,378.62,154.25,302.50
16,398.90,174.20,398.90,174.20,310.00
17,418.25,193.34,418.25,193.34,317.00
18,436.71,211.56,436.71,211.56,324.50
19,454.42,229.05,454.42,229.05,331.25
20,471.35,245.69,471.35,245.69,338.50
21,487.55,261.71,487.55,261.71,346.00
22,264.53,89.77,264.53,89.77,276.00
23,289.57,113.36,289.57,113.36,283.50
24,313.47,135.67,313.47,135.67,290.25
25,336.08,156.92,336.08,156.92,297.75
26,357.66,177.25,357.66,177.25,305.00
27,378.28,196.56,378.28,196.56,312.00
28,397.96,215.01,397.96,215.01,319.50
29,416.75,232.61,416.75,232.61,326.50
30,434.72,249.48,434.72,249.48,333.50
31,451.94,265.61,451.94,265.61,341.00
32,468.48,281.16,468.48,281.16,347.75
33,242.59,115.54,242.59,115.54,278.50
34,267.98,138.23,267.98,138.23,286.00
35,292.22,159.73,292.22,159.73,292.75
36,315.23,180.35,315.23,180.35,300.00
37,337.12,199.85,337.12,199.85,307.75
38,358.05,218.49,358.05,218.49,314.50
39,377.94,236.36,377.94,236.36,321.75
40,397.09,253.37,397.09,253.37,328.75
41,415.38,269.62,415.38,269.62,336.25
42,432.87,285.34,432.87,285.34,343.50
43,449.64,300.28,449.64,300.28,350.75
44,221.06,140.79,221.06,140.79,280.75
45,246.77,162.68,246.77,162.68,288.25
46,271.31,183.48,271.31,183.48,295.25
47,294.58,203.32,294.58,203.32,302.50
48,316.79,222.17,316.79,222.17,309.75
49,338.04,240.19,338.04,240.19,317.25
50,358.31,257.37,358.31,257.37,324.00
51,377.65,273.77,377.65,273.77,331.75
52,396.30,289.55,396.30,289.55,338.25
53,414.04,304.66,414.04,304.66,345.75
54,431.12,319.18,431.12,319.18,352.75
55,199.77,165.68,199.77,165.68,283.25
56,225.85,186.72,225.85,186.72,290.75
57,250.64,206.80,250.64,206.80,297.75
58,274.37,225.87,274.37,225.87,305.00
59,296.81,244.11,296.81,244.11,312.00
60,318.38,261.47,318.38,261.47,319.00
61,338.85,278.08,338.85,278.08,326.50
62,358.54,293.94,358.54,293.94,333.75
63,377.41,309.23,377.41,309.23,341.00
64,395.47,323.76,395.47,323.76,348.25
65,412.80,337.76,412.80,337.76,355.00
66,178.93,190.19,178.93,190.19,285.50
67,205.33,210.43,205.33,210.43,293.00
68,230.46,229.72,230.46,229.72,300.00
69,254.35,248.16,254.35,248.16,307.25
70,277.23,265.66,277.23,265.66,314.50
71,298.94,282.45,298.94,282.45,321.50
72,319.77,298.47,319.77,298.47,328.75
73,339.68,313.81,339.68,313.81,336.25
74,358.81,328.54,358.81,328.54,343.25
75,377.19,342.62,377.19,342.62,350.75
76,394.69,356.19,394.69,356.19,358.00
77,158.44,214.21,158.44,214.21,288.75
78,185.15,233.70,185.15,233.70,295.50
79,210.46,252.33,210.46,252.33,302.50
80,234.67,270.03,234.67,270.03,309.75
81,257.74,286.95,257.74,286.95,317.00
82,279.86,303.19,279.86,303.19,324.00
83,300.96,318.62,300.96,318.62,331.75
84,321.17,333.44,321.17,333.44,338.00
85,340.48,347.60,340.48,347.60,346.00
86,359.11,361.27,359.11,361.27,352.50
87,376.84,374.32,376.84,374.32,360.00
