棋盘格姿态,末端json文件,角点索引,相机坐标系X(mm),相机坐标系Y(mm),相机坐标系Z(mm),实际X(mm),实际Y(mm),实际Z(mm),计算X(mm),计算Y(mm),计算Z(mm),实际与计算误差(mm)
chessboard_pose_1,robot_status_2025-11-03_23-26-38.json,12,-19.846000,104.271000,720.003000,-9.645000,439.544000,-66.182000,-10.812222,439.469832,-65.972417,1.188205
chessboard_pose_2,robot_status_2025-11-03_23-45-11.json,77,23.616000,-49.614000,720.003000,23.046000,595.489000,-66.188000,23.739120,595.596713,-65.597238,0.917070
chessboard_pose_2,robot_status_2025-11-03_23-47-54.json,20,158.018000,-140.304000,720.003000,152.940000,693.542000,-65.454000,152.709222,693.857809,-65.805462,0.525852
chessboard_pose_2,robot_status_2025-11-03_23-49-25.json,0,23.096000,-154.684000,720.003000,16.631000,700.641000,-65.456000,17.185183,700.462724,-65.221907,0.627456
chessboard_pose_2,robot_status_2025-11-03_23-51-39.json,38,98.204000,-109.966000,720.003000,94.275000,659.676000,-65.460000,94.736971,660.133775,-65.677188,0.685671
chessboard_pose_3,robot_status_2025-11-04_00-06-46.json,0,-136.378000,-56.423000,720.003000,-135.600000,593.880000,-64.845000,-136.380466,593.202789,-64.941633,1.037825
chessboard_pose_3,robot_status_2025-11-04_00-13-44.json,10,-131.788000,93.157000,720.003000,-123.676000,444.086000,-65.122000,-123.206807,444.134358,-65.491155,0.598962
