Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
pedestal_Link,0.19298,-0.023952,0.019437,0,0,0,279.84,11.635,0.0019218,-0.10753,42.069,0.024529,32.91,0,0,0,0,0,0,package://aubo_description/meshes/world_map/pedestal_Link.STL,0.91373,0.84706,0.74118,1,0,0,0,0,0,0,package://aubo_description/meshes/world_map/pedestal_Link.STL,,800X1500X850光学桌-1;快换夹头存放板-1;杯旋转30度装置V2-1/立柱V2-1;杯旋转30度装置V2-1/转轴安装座-1;杯旋转30度装置V2-1/BPM10 柱塞-1;杯旋转30度装置V2-1/转轴-1;杯旋转30度装置V2-1/纸杯托V2-1;viennaplus咖啡机.SLDPRT-1/咖啡机-1;杯托V3-1;HFCI50气动手指及快换盘组件-1/_HFCI50_body-1;HFCI50气动手指及快换盘组件-1/半夹爪头-2;HFCI50气动手指及快换盘组件-1/夹爪头-2;HFCI50气动手指及快换盘组件-1/夹爪头-1;HFCI50气动手指及快换盘组件-1/半夹爪头-1;HFCI50气动手指及快换盘组件-1/_HFCI50_finger-1;HFCI50气动手指及快换盘组件-1/_HFCI50_finger-4;HFCI50气动手指及快换盘组件-1/STW-X20DYF-快换盘付盘-1;HFCI50气动手指及快换盘组件-1/快换盘至手指法兰-1;HFKL20手抓及快换盘组件-1/STW-X20DYF-快换盘付盘-1;HFKL20手抓及快换盘组件-1/HFKL20缸至快换盘法兰-1;HFKL20手抓及快换盘组件-1/_HFKL20_body-1;HFKL20手抓及快换盘组件-1/外购D20夹头-2;HFKL20手抓及快换盘组件-1/六角螺栓M4X15-6;HFKL20手抓及快换盘组件-1/_20(OP)_finger-3;HFKL20手抓及快换盘组件-1/六角螺栓M4X15-3;HFKL20手抓及快换盘组件-1/普通平垫4-6;HFKL20手抓及快换盘组件-1/弹簧垫圈4-6;HFKL20手抓及快换盘组件-1/普通平垫4-3;HFKL20手抓及快换盘组件-1/弹簧垫圈4-3;HFKL20手抓及快换盘组件-1/六角螺栓M4X15-1;HFKL20手抓及快换盘组件-1/外购D20夹头-1;HFKL20手抓及快换盘组件-1/_20(OP)_finger-2;HFKL20手抓及快换盘组件-1/普通平垫4-1;HFKL20手抓及快换盘组件-1/弹簧垫圈4-1;HFKL20手抓及快换盘组件-1/六角螺栓M4X15-4;HFKL20手抓及快换盘组件-1/弹簧垫圈4-4;HFKL20手抓及快换盘组件-1/普通平垫4-4,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
base1_Link,3.4413E-09,-0.0027307,0.0029024,0,0,0,5.9908,0.0109,-1.9752E-08,3.3745E-10,0.0095852,-0.00015865,0.018662,0,0,0,0,0,0,package://aubo_description/meshes/world_map/base1_Link.STL,0.61569,0.64314,0.67451,1,0,0,0,0,0,0,package://aubo_description/meshes/world_map/base1_Link.STL,,audo-i5机器人总装-1/i5-底座-1,Origin_base1_joint,,base1_joint,fixed,-0.20983,-0.10483,0.028,-3.1416,0,3.1416,pedestal_Link,0,0,0,,,,,,,,,,,,
gripper_Link,0.032695,2.4035E-06,-1.2647E-05,0,0,0,0.49412,0.00021829,1.2071E-07,-1.196E-07,0.00019977,-1.2196E-06,0.00018654,0,0,0,0,0,0,package://aubo_description/meshes/world_map/gripper_Link.STL,0.61569,0.64314,0.67451,1,0,0,0,0,0,0,package://aubo_description/meshes/world_map/gripper_Link.STL,,HFCI50气动手指及快换盘组件-1/_HFCI50_body-1;HFCI50气动手指及快换盘组件-1/快换盘至手指法兰-1;HFCI50气动手指及快换盘组件-1/STW-X20DYF-快换盘付盘-1;HFCI50气动手指及快换盘组件-1/_HFCI50_finger-4;HFCI50气动手指及快换盘组件-1/_HFCI50_finger-1;HFCI50气动手指及快换盘组件-1/夹爪头-1;HFCI50气动手指及快换盘组件-1/夹爪头-2;HFCI50气动手指及快换盘组件-1/半夹爪头-2;HFCI50气动手指及快换盘组件-1/半夹爪头-1,Origin_gripper_joint,Axis_gripper_joint,gripper_joint,continuous,0.0175,0.5675,0,0.16128,-1.5708,0,pedestal_Link,1,0,0,,,,,,,,,,,,
gripper1_Link,-9.5481E-06,0.013288,-1.7239E-05,0,0,0,0.37475,0.00012891,1.8935E-07,-6.5087E-07,0.00012272,2E-07,0.00015148,0,0,0,0,0,0,package://aubo_description/meshes/world_map/gripper1_Link.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://aubo_description/meshes/world_map/gripper1_Link.STL,,HFKL20手抓及快换盘组件-1/_HFKL20_body-1;HFKL20手抓及快换盘组件-1/_20(OP)_finger-2;HFKL20手抓及快换盘组件-1/外购D20夹头-1;HFKL20手抓及快换盘组件-1/外购D20夹头-2;HFKL20手抓及快换盘组件-1/_20(OP)_finger-3;HFKL20手抓及快换盘组件-1/弹簧垫圈4-1;HFKL20手抓及快换盘组件-1/普通平垫4-1;HFKL20手抓及快换盘组件-1/普通平垫4-4;HFKL20手抓及快换盘组件-1/弹簧垫圈4-4;HFKL20手抓及快换盘组件-1/六角螺栓M4X15-4;HFKL20手抓及快换盘组件-1/六角螺栓M4X15-1;HFKL20手抓及快换盘组件-1/六角螺栓M4X15-3;HFKL20手抓及快换盘组件-1/普通平垫4-3;HFKL20手抓及快换盘组件-1/六角螺栓M4X15-6;HFKL20手抓及快换盘组件-1/弹簧垫圈4-3;HFKL20手抓及快换盘组件-1/弹簧垫圈4-6;HFKL20手抓及快换盘组件-1/普通平垫4-6;HFKL20手抓及快换盘组件-1/HFKL20缸至快换盘法兰-1;HFKL20手抓及快换盘组件-1/STW-X20DYF-快换盘付盘-1,Origin_gripper1_joint,Axis_gripper1_joint,gripper1_joint,continuous,-0.1225,0.5675,0,-1.5708,0,0.16039,pedestal_Link,0,1,0,,,,,,,,,,,,
cup_Link,-2.2204E-16,0.043358,-1.3878E-16,0,0,0,0.0049881,6.3167E-06,2.0801E-21,-2.3293E-21,4.4216E-06,4.6127E-21,6.3167E-06,0,0,0,0,0,0,package://aubo_description/meshes/world_map/cup_Link.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://aubo_description/meshes/world_map/cup_Link.STL,,杯旋转30度装置V2-1/300ML一次性纸杯-1,Origin_cup_joint,,cup_joint,fixed,0.41942,0.299,0.099768,1.5773,0.0084445,0.65748,pedestal_Link,0,0,0,,,,,,,,,,,,
cup350_Link,0.034523,-0.046212,0.0068806,0,0,0,0.51778,0.00041022,-5.615E-06,-3.101E-09,0.00026606,-2.5755E-09,0.00043124,0,0,0,0,0,0,package://aubo_description/meshes/world_map/cup350_Link.STL,0.91373,0.84706,0.74118,1,0,0,0,0,0,0,package://aubo_description/meshes/world_map/cup350_Link.STL,,杯体组合-1/350ML拉花杯V2-1,Origin_cup350_joint,Axis_cup350_joint,cup350_joint,prismatic,0.33112,-0.2075,0.038526,-2.2689,0,-1.5708,pedestal_Link,0,0,1,0,0,0,0,,,,,,,,
