角点序号,RGB像素坐标U,RGB像素坐标V,Depth像素坐标U,Depth像素坐标V,Depth值(mm)
0,267.69,232.45,267.69,232.45,485.25
1,286.44,232.79,286.44,232.79,481.75
2,305.42,233.41,305.42,233.41,478.50
3,324.51,233.73,324.51,233.73,474.50
4,344.06,234.38,344.06,234.38,471.75
5,363.66,234.69,363.66,234.69,468.50
6,383.72,235.36,383.72,235.36,465.25
7,404.13,235.71,404.13,235.71,462.00
8,424.66,236.36,424.66,236.36,458.25
9,445.58,236.74,445.58,236.74,455.25
10,466.77,237.38,466.77,237.38,451.75
11,267.59,251.52,267.59,251.52,486.75
12,286.35,252.19,286.35,252.19,483.25
13,305.23,252.64,305.23,252.64,480.00
14,324.37,253.40,324.37,253.40,476.25
15,343.59,253.89,343.59,253.89,473.00
16,363.43,254.54,363.43,254.54,470.25
17,383.35,255.27,383.35,255.27,467.00
18,403.57,255.73,403.57,255.73,463.50
19,424.12,256.51,424.12,256.51,460.00
20,444.96,257.11,444.96,257.11,456.50
21,466.07,257.77,466.07,257.77,453.25
22,267.50,270.53,267.50,270.53,488.00
23,286.22,271.31,286.22,271.31,484.50
24,304.89,271.90,304.89,271.90,481.50
25,323.99,272.64,323.99,272.64,477.75
26,343.42,273.49,343.42,273.49,475.00
27,362.86,274.29,362.86,274.29,471.25
28,382.77,274.88,382.77,274.88,467.75
29,403.13,275.72,403.13,275.72,464.50
30,423.51,276.57,423.51,276.57,461.25
31,444.32,277.37,444.32,277.37,458.25
32,465.35,278.27,465.35,278.27,455.00
33,267.41,289.43,267.41,289.43,489.75
34,286.06,290.29,286.06,290.29,486.25
35,304.62,291.09,304.62,291.09,483.25
36,323.64,291.89,323.64,291.89,480.00
37,342.95,292.77,342.95,292.77,476.25
38,362.56,293.68,362.56,293.68,473.25
39,382.38,294.67,382.38,294.67,469.75
40,402.50,295.59,402.50,295.59,466.50
41,422.84,296.50,422.84,296.50,462.75
42,443.57,297.47,443.57,297.47,460.25
43,464.55,298.43,464.55,298.43,455.50
44,267.34,308.26,267.34,308.26,491.25
45,285.81,309.20,285.81,309.20,488.00
46,304.48,310.15,304.48,310.15,485.25
47,323.50,311.14,323.50,311.14,480.75
48,342.62,312.13,342.62,312.13,477.25
49,362.13,313.21,362.13,313.21,474.50
50,381.99,314.27,381.99,314.27,470.75
51,401.89,315.33,401.89,315.33,467.50
52,422.33,316.35,422.33,316.35,464.75
53,442.91,317.42,442.91,317.42,460.75
54,463.76,318.51,463.76,318.51,458.00
55,267.27,326.80,267.27,326.80,493.25
56,285.65,327.92,285.65,327.92,489.75
57,304.38,329.09,304.38,329.09,486.50
58,323.28,330.25,323.28,330.25,483.00
59,342.36,331.35,342.36,331.35,480.00
60,361.78,332.48,361.78,332.48,476.50
61,381.46,333.61,381.46,333.61,473.25
62,401.46,334.81,401.46,334.81,469.50
63,421.63,336.08,421.63,336.08,465.75
64,442.27,337.22,442.27,337.22,462.50
65,463.04,338.46,463.04,338.46,459.50
66,267.23,345.44,267.23,345.44,494.50
67,285.50,346.60,285.50,346.60,490.50
68,304.22,347.80,304.22,347.80,487.75
69,322.84,349.09,322.84,349.09,484.00
70,341.88,350.34,341.88,350.34,481.00
71,361.37,351.62,361.37,351.62,477.25
72,380.95,352.85,380.95,352.85,474.25
73,400.95,354.21,400.95,354.21,470.50
74,421.09,355.51,421.09,355.51,467.75
75,441.54,356.87,441.54,356.87,463.75
76,462.36,358.36,462.36,358.36,461.25
77,267.20,363.78,267.20,363.78,496.25
78,285.37,365.19,285.37,365.19,493.00
79,303.97,366.47,303.97,366.47,489.50
80,322.58,367.81,322.58,367.81,486.00
81,341.72,369.26,341.72,369.26,483.00
82,361.10,370.64,361.10,370.64,479.75
83,380.55,372.12,380.55,372.12,475.75
84,400.42,373.52,400.42,373.52,472.50
85,420.49,375.03,420.49,375.03,469.50
86,440.85,376.44,440.85,376.44,465.50
87,461.57,377.96,461.57,377.96,462.00
