角点序号,RGB像素坐标U,RGB像素坐标V,Depth像素坐标U,Depth像素坐标V,Depth值(mm)
0,175.48,143.69,175.48,143.69,450.75
1,195.92,144.43,195.92,144.43,449.75
2,216.57,145.12,216.57,145.12,448.75
3,237.10,145.69,237.10,145.69,448.75
4,257.74,146.52,257.74,146.52,448.25
5,278.56,147.30,278.56,147.30,447.00
6,299.37,147.92,299.37,147.92,446.75
7,320.27,148.60,320.27,148.60,446.25
8,341.01,149.41,341.01,149.41,445.00
9,362.02,150.17,362.02,150.17,444.50
10,383.14,150.78,383.14,150.78,443.75
11,177.10,164.32,177.10,164.32,457.00
12,197.33,165.13,197.33,165.13,457.00
13,217.50,165.79,217.50,165.79,455.75
14,237.94,166.49,237.94,166.49,455.00
15,258.24,167.31,258.24,167.31,454.50
16,278.65,167.85,278.65,167.85,453.75
17,299.27,168.72,299.27,168.72,453.00
18,319.59,169.43,319.59,169.43,452.00
19,340.36,170.21,340.36,170.21,451.25
20,360.87,170.92,360.87,170.92,450.75
21,381.66,171.66,381.66,171.66,450.25
22,178.62,184.43,178.62,184.43,463.75
23,198.57,185.21,198.57,185.21,462.75
24,218.56,185.82,218.56,185.82,462.50
25,238.51,186.63,238.51,186.63,462.00
26,258.66,187.37,258.66,187.37,461.00
27,278.78,188.21,278.78,188.21,460.25
28,299.04,188.96,299.04,188.96,460.25
29,319.32,189.61,319.32,189.61,459.00
30,339.51,190.43,339.51,190.43,458.25
31,359.77,191.27,359.77,191.27,457.25
32,380.30,192.00,380.30,192.00,457.00
33,180.20,203.88,180.20,203.88,470.25
34,199.78,204.64,199.78,204.64,470.00
35,219.51,205.44,219.51,205.44,469.00
36,239.30,206.22,239.30,206.22,468.50
37,259.07,207.09,259.07,207.09,468.00
38,278.90,207.66,278.90,207.66,467.50
39,298.72,208.51,298.72,208.51,466.25
40,318.66,209.36,318.66,209.36,465.75
41,338.67,210.14,338.67,210.14,464.50
42,358.76,210.75,358.76,210.75,463.75
43,378.90,211.59,378.90,211.59,463.75
44,181.60,222.92,181.60,222.92,477.50
45,201.03,223.66,201.03,223.66,476.00
46,220.38,224.42,220.38,224.42,475.00
47,239.75,225.31,239.75,225.31,474.50
48,259.40,226.09,259.40,226.09,474.25
49,279.10,226.72,279.10,226.72,473.75
50,298.55,227.53,298.55,227.53,473.00
51,318.40,228.40,318.40,228.40,472.00
52,338.09,229.24,338.09,229.24,471.75
53,357.74,229.89,357.74,229.89,470.50
54,377.63,230.66,377.63,230.66,470.25
55,183.07,241.40,183.07,241.40,483.00
56,202.23,242.24,202.23,242.24,483.75
57,221.31,242.86,221.31,242.86,481.50
58,240.54,243.64,240.54,243.64,481.75
59,259.80,244.52,259.80,244.52,481.00
60,279.23,245.40,279.23,245.40,479.75
61,298.48,246.20,298.48,246.20,479.25
62,317.78,246.83,317.78,246.83,479.00
63,337.41,247.65,337.41,247.65,477.25
64,356.78,248.51,356.78,248.51,476.75
65,376.41,249.40,376.41,249.40,476.50
66,184.46,259.29,184.46,259.29,490.25
67,203.33,260.08,203.33,260.08,489.25
68,222.20,260.81,222.20,260.81,489.75
69,241.06,261.68,241.06,261.68,488.25
70,260.18,262.52,260.18,262.52,487.75
71,279.30,263.39,279.30,263.39,486.25
72,298.38,264.22,298.38,264.22,485.75
73,317.47,264.91,317.47,264.91,485.50
74,336.58,265.68,336.58,265.68,484.25
75,355.81,266.58,355.81,266.58,483.75
76,375.20,267.45,375.20,267.45,482.75
77,185.72,276.74,185.72,276.74,496.75
78,204.41,277.59,204.41,277.59,496.50
79,223.03,278.43,223.03,278.43,495.25
80,241.63,279.22,241.63,279.22,495.00
81,260.47,279.99,260.47,279.99,495.00
82,279.35,280.78,279.35,280.78,493.00
83,298.25,281.66,298.25,281.66,492.25
84,317.05,282.53,317.05,282.53,492.00
85,335.88,283.42,335.88,283.42,491.00
86,354.88,284.24,354.88,284.24,490.50
87,373.97,284.95,373.97,284.95,489.50
