角点序号,RGB像素坐标U,RGB像素坐标V,Depth像素坐标U,Depth像素坐标V,Depth值(mm)
0,129.69,82.35,129.69,82.35,452.00
1,149.65,75.43,149.65,75.43,456.25
2,169.27,68.52,169.27,68.52,461.00
3,188.48,61.80,188.48,61.80,465.00
4,207.34,55.21,207.34,55.21,469.25
5,225.83,48.71,225.83,48.71,473.25
6,244.07,42.38,244.07,42.38,477.00
7,261.79,36.11,261.79,36.11,482.25
8,279.40,29.99,279.40,29.99,488.00
9,296.54,23.96,296.54,23.96,490.25
10,313.52,18.12,313.52,18.12,503.00
11,139.40,102.64,139.40,102.64,459.75
12,158.88,95.58,158.88,95.58,464.50
13,178.07,88.64,178.07,88.64,468.50
14,196.87,81.87,196.87,81.87,472.50
15,215.36,75.26,215.36,75.26,476.00
16,233.46,68.63,233.46,68.63,481.00
17,251.29,62.24,251.29,62.24,485.25
18,268.70,55.94,268.70,55.94,490.25
19,285.87,49.70,285.87,49.70,495.25
20,302.75,43.58,302.75,43.58,498.50
21,319.36,37.59,319.36,37.59,502.75
22,148.72,122.27,148.72,122.27,468.75
23,167.78,115.15,167.78,115.15,472.25
24,186.54,108.15,186.54,108.15,476.25
25,204.97,101.34,204.97,101.34,481.25
26,223.09,94.55,223.09,94.55,485.25
27,240.82,87.91,240.82,87.91,489.25
28,258.27,81.46,258.27,81.46,494.50
29,275.42,75.08,275.42,75.08,498.00
30,292.28,68.75,292.28,68.75,503.25
31,308.74,62.59,308.74,62.59,506.25
32,325.09,56.54,325.09,56.54,511.75
33,157.75,141.25,157.75,141.25,475.25
34,176.51,134.05,176.51,134.05,480.25
35,194.76,126.98,194.76,126.98,484.25
36,212.74,120.03,212.74,120.03,489.00
37,230.53,113.25,230.53,113.25,493.25
38,247.91,106.55,247.91,106.55,498.50
39,265.08,100.04,265.08,100.04,501.50
40,281.81,93.60,281.81,93.60,505.50
41,298.37,87.28,298.37,87.28,510.00
42,314.61,81.10,314.61,81.10,515.50
43,330.51,74.85,330.51,74.85,519.50
44,166.47,159.45,166.47,159.45,484.00
45,184.73,152.28,184.73,152.28,488.25
46,202.69,145.17,202.69,145.17,492.50
47,220.43,138.21,220.43,138.21,496.50
48,237.76,131.37,237.76,131.37,501.50
49,254.79,124.63,254.79,124.63,505.00
50,271.59,118.06,271.59,118.06,509.25
51,288.13,111.51,288.13,111.51,515.00
52,304.38,105.21,304.38,105.21,518.75
53,320.24,98.81,320.24,98.81,523.50
54,335.89,92.69,335.89,92.69,527.75
55,174.92,177.19,174.92,177.19,491.75
56,192.75,169.86,192.75,169.86,496.00
57,210.43,162.71,210.43,162.71,500.50
58,227.73,155.71,227.73,155.71,504.75
59,244.72,148.87,244.72,148.87,509.25
60,261.51,142.13,261.51,142.13,514.25
61,277.98,135.44,277.98,135.44,517.75
62,294.19,128.91,294.19,128.91,521.75
63,310.10,122.52,310.10,122.52,526.25
64,325.66,116.22,325.66,116.22,531.00
65,341.12,109.98,341.12,109.98,535.50
66,183.11,194.29,183.11,194.29,499.75
67,200.63,187.02,200.63,187.02,504.25
68,217.88,179.84,217.88,179.84,508.50
69,234.84,172.84,234.84,172.84,513.25
70,251.56,165.86,251.56,165.86,517.75
71,267.99,159.08,267.99,159.08,522.00
72,284.19,152.40,284.19,152.40,525.75
73,299.99,145.82,299.99,145.82,530.25
74,315.62,139.40,315.62,139.40,534.75
75,330.94,133.00,330.94,133.00,539.25
76,346.16,126.69,346.16,126.69,543.25
77,190.89,210.80,190.89,210.80,508.00
78,208.17,203.50,208.17,203.50,513.00
79,225.14,196.34,225.14,196.34,516.50
80,241.74,189.29,241.74,189.29,521.25
81,258.17,182.34,258.17,182.34,525.00
82,274.30,175.49,274.30,175.49,529.25
83,290.14,168.74,290.14,168.74,534.00
84,305.70,162.21,305.70,162.21,538.75
85,321.08,155.59,321.08,155.59,542.75
86,336.19,149.29,336.19,149.29,546.75
87,350.89,142.97,350.89,142.97,552.00
