角点序号,RGB像素坐标U,RGB像素坐标V,Depth像素坐标U,Depth像素坐标V,Depth值(mm)
0,187.61,308.72,187.61,308.72,514.50
1,205.52,308.80,205.52,308.80,513.00
2,223.56,308.69,223.56,308.69,512.50
3,241.59,308.65,241.59,308.65,511.75
4,259.68,308.73,259.68,308.73,510.50
5,277.92,308.71,277.92,308.71,509.25
6,296.26,308.71,296.26,308.71,508.75
7,314.44,308.66,314.44,308.66,507.25
8,332.67,308.65,332.67,308.65,506.50
9,351.14,308.65,351.14,308.65,505.75
10,369.64,308.63,369.64,308.63,505.50
11,185.62,327.12,185.62,327.12,508.00
12,203.80,326.88,203.80,326.88,506.50
13,222.12,327.11,222.12,327.11,504.75
14,240.37,327.09,240.37,327.09,505.00
15,258.65,326.97,258.65,326.97,504.50
16,277.12,327.10,277.12,327.10,503.25
17,295.56,327.22,295.56,327.22,502.00
18,314.23,327.23,314.23,327.23,502.00
19,332.62,327.24,332.62,327.24,500.25
20,351.38,327.25,351.38,327.25,499.75
21,370.09,327.26,370.09,327.26,499.00
22,183.63,345.66,183.63,345.66,500.75
23,202.11,345.73,202.11,345.73,500.25
24,220.55,345.81,220.55,345.81,499.50
25,239.05,345.80,239.05,345.80,497.75
26,257.64,345.83,257.64,345.83,497.50
27,276.33,346.07,276.33,346.07,497.00
28,295.13,346.02,295.13,346.02,495.75
29,313.79,345.96,313.79,345.96,495.00
30,332.61,346.00,332.61,346.00,494.25
31,351.58,346.08,351.58,346.08,493.75
32,370.53,346.18,370.53,346.18,492.75
33,181.60,364.85,181.60,364.85,493.50
34,200.27,364.98,200.27,364.98,493.75
35,219.00,365.18,219.00,365.18,492.50
36,237.77,365.11,237.77,365.11,492.00
37,256.62,365.33,256.62,365.33,490.75
38,275.51,365.30,275.51,365.30,490.00
39,294.48,365.41,294.48,365.41,489.00
40,313.51,365.52,313.51,365.52,487.75
41,332.61,365.57,332.61,365.57,486.50
42,351.84,365.65,351.84,365.65,486.50
43,371.01,365.74,371.01,365.74,484.50
44,179.49,384.63,179.49,384.63,487.75
45,198.40,384.71,198.40,384.71,486.75
46,217.43,384.84,217.43,384.84,486.00
47,236.45,385.12,236.45,385.12,484.75
48,255.52,385.05,255.52,385.05,484.75
49,274.65,385.32,274.65,385.32,483.25
50,293.81,385.33,293.81,385.33,483.00
51,313.32,385.47,313.32,385.47,481.75
52,332.59,385.59,332.59,385.59,480.25
53,352.13,385.73,352.13,385.73,479.75
54,371.55,385.82,371.55,385.82,478.25
55,177.32,405.00,177.32,405.00,480.75
56,196.47,405.19,196.47,405.19,480.50
57,215.71,405.34,215.71,405.34,478.50
58,235.05,405.39,235.05,405.39,478.50
59,254.36,405.55,254.36,405.55,477.00
60,273.80,405.74,273.80,405.74,476.00
61,293.39,405.79,293.39,405.79,475.50
62,312.97,405.95,312.97,405.95,474.25
63,332.54,406.21,332.54,406.21,473.50
64,352.35,406.38,352.35,406.38,473.00
65,372.11,406.52,372.11,406.52,472.25
66,175.07,425.83,175.07,425.83,474.00
67,194.47,426.06,194.47,426.06,473.25
68,214.01,426.19,214.01,426.19,472.75
69,233.50,426.39,233.50,426.39,471.75
70,253.32,426.62,253.32,426.62,470.75
71,272.85,426.76,272.85,426.76,469.25
72,292.65,426.91,292.65,426.91,469.00
73,312.53,427.15,312.53,427.15,468.25
74,332.50,427.41,332.50,427.41,467.25
75,352.50,427.57,352.50,427.57,466.00
76,372.56,427.77,372.56,427.77,466.00
77,172.70,447.37,172.70,447.37,467.00
78,192.42,447.57,192.42,447.57,467.00
79,212.21,447.77,212.21,447.77,465.25
80,232.15,448.02,232.15,448.02,464.75
81,251.91,448.30,251.91,448.30,464.50
82,272.08,448.48,272.08,448.48,462.75
83,292.16,448.60,292.16,448.60,462.50
84,312.23,448.97,312.23,448.97,462.00
85,332.41,449.25,332.41,449.25,461.25
86,352.75,449.38,352.75,449.38,460.00
87,373.12,449.66,373.12,449.66,460.00
