角点序号,RGB像素坐标U,RGB像素坐标V,Depth像素坐标U,Depth像素坐标V,Depth值(mm)
0,365.30,299.11,365.30,299.11,563.00
1,376.34,289.71,376.34,289.71,553.25
2,388.11,279.84,388.11,279.84,544.00
3,400.29,269.65,400.29,269.65,535.50
4,412.84,259.16,412.84,259.16,525.00
5,425.83,248.24,425.83,248.24,516.25
6,439.37,236.94,439.37,236.94,507.00
7,453.31,225.26,453.31,225.26,498.75
8,467.78,213.06,467.78,213.06,488.25
9,482.79,200.47,482.79,200.47,479.25
10,498.47,187.34,498.47,187.34,471.00
11,375.12,312.60,375.12,312.60,558.00
12,386.84,303.32,386.84,303.32,548.75
13,398.86,293.57,398.86,293.57,539.75
14,411.37,283.48,411.37,283.48,530.75
15,424.25,273.09,424.25,273.09,521.25
16,437.56,262.34,437.56,262.34,511.25
17,451.38,251.21,451.38,251.21,503.25
18,465.66,239.64,465.66,239.64,493.00
19,480.53,227.66,480.53,227.66,484.50
20,496.02,215.22,496.02,215.22,475.00
21,512.03,202.30,512.03,202.30,466.25
22,386.08,325.99,386.08,325.99,554.00
23,397.49,317.12,397.49,317.12,544.25
24,409.77,307.50,409.77,307.50,534.75
25,422.57,297.57,422.57,297.57,526.00
26,435.80,287.38,435.80,287.38,516.75
27,449.45,276.71,449.45,276.71,507.75
28,463.61,265.71,463.61,265.71,498.00
29,478.32,254.36,478.32,254.36,489.00
30,493.54,242.52,493.54,242.52,479.25
31,509.39,230.29,509.39,230.29,470.75
32,525.82,217.47,525.82,217.47,461.50
33,396.01,340.09,396.01,340.09,549.25
34,408.38,331.00,408.38,331.00,539.75
35,420.97,321.57,420.97,321.57,531.00
36,434.09,311.76,434.09,311.76,519.75
37,447.58,301.74,447.58,301.74,511.50
38,461.57,291.33,461.57,291.33,502.25
39,476.10,280.55,476.10,280.55,493.50
40,491.17,269.36,491.17,269.36,485.25
41,506.74,257.68,506.74,257.68,475.50
42,523.06,245.56,523.06,245.56,465.75
43,539.91,232.99,539.91,232.99,456.50
44,407.40,353.82,407.40,353.82,544.25
45,419.36,345.22,419.36,345.22,536.00
46,432.38,335.94,432.38,335.94,526.50
47,445.73,326.41,445.73,326.41,516.50
48,459.59,316.50,459.59,316.50,507.75
49,473.92,306.31,473.92,306.31,498.25
50,488.78,295.62,488.78,295.62,489.00
51,504.26,284.58,504.26,284.58,480.25
52,520.32,273.13,520.32,273.13,470.75
53,536.93,261.24,536.93,261.24,461.50
54,554.35,248.77,554.35,248.77,452.75
55,417.72,368.41,417.72,368.41,539.50
56,430.62,359.61,430.62,359.61,530.25
57,443.88,350.57,443.88,350.57,521.25
58,457.61,341.20,457.61,341.20,511.75
59,471.78,331.50,471.78,331.50,503.00
60,486.52,321.44,486.52,321.44,493.50
61,501.73,310.99,501.73,310.99,484.50
62,517.58,300.16,517.58,300.16,475.25
63,534.07,288.86,534.07,288.86,466.50
64,551.18,277.15,551.18,277.15,456.50
65,569.02,264.97,569.02,264.97,447.25
66,429.39,382.67,429.39,382.67,535.00
67,441.99,374.39,441.99,374.39,525.75
68,455.66,365.44,455.66,365.44,517.00
69,469.69,356.27,469.69,356.27,507.75
70,484.25,346.70,484.25,346.70,497.75
71,499.30,336.84,499.30,336.84,489.25
72,514.93,326.62,514.93,326.62,479.75
73,531.21,315.98,531.21,315.98,471.25
74,548.09,304.89,548.09,304.89,461.75
75,565.65,293.43,565.65,293.43,452.25
76,583.96,281.43,583.96,281.43,443.50
77,440.28,397.66,440.28,397.66,530.25
78,453.69,389.31,453.69,389.31,522.00
79,467.60,380.58,467.60,380.58,511.75
80,482.02,371.57,482.02,371.57,502.75
81,496.88,362.30,496.88,362.30,493.25
82,512.35,352.58,512.35,352.58,484.75
83,528.40,342.55,528.40,342.55,475.50
84,545.09,332.17,545.09,332.17,465.75
85,562.40,321.32,562.40,321.32,456.75
86,580.45,310.00,580.45,310.00,448.00
87,599.30,298.29,599.30,298.29,438.75
