角点序号,RGB像素坐标U,RGB像素坐标V,Depth像素坐标U,Depth像素坐标V,Depth值(mm)
0,270.70,229.00,270.70,229.00,600.00
1,285.36,229.49,285.36,229.49,594.25
2,300.20,230.05,300.20,230.05,589.50
3,315.31,230.53,315.31,230.53,582.75
4,330.57,231.18,330.57,231.18,577.50
5,346.39,231.60,346.39,231.60,572.75
6,362.39,232.31,362.39,232.31,566.75
7,378.59,232.73,378.59,232.73,561.00
8,395.28,233.43,395.28,233.43,555.50
9,412.30,234.05,412.30,234.05,550.75
10,429.57,234.58,429.57,234.58,545.25
11,270.44,244.49,270.44,244.49,601.75
12,285.05,245.21,285.05,245.21,596.75
13,299.71,245.74,299.71,245.74,588.75
14,314.78,246.49,314.78,246.49,585.00
15,330.31,247.25,330.31,247.25,578.75
16,345.82,247.83,345.82,247.83,573.50
17,361.76,248.59,361.76,248.59,567.25
18,378.13,249.41,378.13,249.41,563.00
19,394.70,250.15,394.70,250.15,557.50
20,411.65,250.80,411.65,250.80,551.75
21,428.82,251.61,428.82,251.61,545.50
22,270.30,259.85,270.30,259.85,603.00
23,284.64,260.66,284.64,260.66,597.75
24,299.48,261.52,299.48,261.52,592.50
25,314.50,262.39,314.50,262.39,586.00
26,329.75,263.26,329.75,263.26,580.75
27,345.47,264.09,345.47,264.09,574.50
28,361.43,264.91,361.43,264.91,570.00
29,377.59,265.76,377.59,265.76,563.25
30,394.17,266.69,394.17,266.69,558.25
31,411.18,267.64,411.18,267.64,553.00
32,428.31,268.62,428.31,268.62,546.75
33,270.03,275.27,270.03,275.27,604.75
34,284.43,276.25,284.43,276.25,598.75
35,299.24,277.20,299.24,277.20,593.75
36,314.25,278.19,314.25,278.19,587.00
37,329.46,279.17,329.46,279.17,581.75
38,345.03,280.18,345.03,280.18,576.25
39,360.80,281.21,360.80,281.21,569.75
40,377.08,282.27,377.08,282.27,565.00
41,393.64,283.32,393.64,283.32,558.75
42,410.49,284.43,410.49,284.43,554.25
43,427.65,285.54,427.65,285.54,548.00
44,269.68,290.57,269.68,290.57,604.00
45,284.24,291.62,284.24,291.62,599.75
46,298.80,292.72,298.80,292.72,593.50
47,313.73,293.84,313.73,293.84,588.00
48,329.09,295.03,329.09,295.03,583.00
49,344.56,296.20,344.56,296.20,577.00
50,360.47,297.38,360.47,297.38,572.25
51,376.61,298.55,376.61,298.55,566.50
52,393.17,299.81,393.17,299.81,560.75
53,409.80,301.13,409.80,301.13,555.00
54,427.10,302.39,427.10,302.39,549.75
55,269.42,305.83,269.42,305.83,607.75
56,283.88,307.11,283.88,307.11,601.50
57,298.48,308.34,298.48,308.34,595.25
58,313.47,309.55,313.47,309.55,590.50
59,328.59,310.80,328.59,310.80,583.25
60,344.21,312.21,344.21,312.21,578.00
61,359.89,313.50,359.89,313.50,573.00
62,376.13,314.86,376.13,314.86,567.75
63,392.54,316.30,392.54,316.30,560.75
64,409.32,317.65,409.32,317.65,556.25
65,426.42,319.13,426.42,319.13,550.50
66,269.12,321.07,269.12,321.07,607.75
67,283.55,322.43,283.55,322.43,602.25
68,298.30,323.78,298.30,323.78,596.50
69,313.19,325.22,313.19,325.22,590.50
70,328.36,326.63,328.36,326.63,586.00
71,343.67,328.09,343.67,328.09,579.00
72,359.56,329.55,359.56,329.55,574.25
73,375.59,331.08,375.59,331.08,568.25
74,392.00,332.56,392.00,332.56,563.50
75,408.73,334.23,408.73,334.23,557.75
76,425.72,335.74,425.72,335.74,552.00
77,268.81,336.17,268.81,336.17,608.75
78,283.24,337.61,283.24,337.61,604.00
79,297.95,339.17,297.95,339.17,597.50
80,312.69,340.65,312.69,340.65,593.00
81,327.78,342.29,327.78,342.29,585.25
82,343.35,343.83,343.35,343.83,581.75
83,359.09,345.51,359.09,345.51,575.75
84,375.22,347.26,375.22,347.26,570.25
85,391.49,348.85,391.49,348.85,564.75
86,408.22,350.59,408.22,350.59,559.00
87,425.21,352.41,425.21,352.41,553.50
