# 原始抓取数据 列含义: 索引, 分数, 宽度(m), 高度(m), 深度(m), X(m), Y(m), Z(m), 物体ID, 旋转矩阵R00~R22, 到中心距离(m)
Index(索引),Score(分数),Width(m)(宽度),Height(m)(高度),Depth(m)(深度),X(m),Y(m),Z(m),Object_ID(物体ID),R00,R01,R02,R10,R11,R12,R20,R21,R22,Distance_to_Center(m)(到中心距离)
0,0.7875,0.0837,0.0200,0.0400,-0.0211,-0.1061,0.4268,-1,-0.105285,-0.985551,0.132678,0.612621,-0.169376,-0.772015,0.783333,0.000000,0.621602,0.1082
1,0.5778,0.0572,0.0200,0.0100,-0.0303,-0.0384,0.4272,-1,-0.015895,0.996171,0.085969,-0.181116,-0.087426,0.979568,0.983333,0.000000,0.181812,0.0489
2,0.2880,0.0692,0.0200,0.0100,-0.0331,0.0057,0.4275,-1,-0.081582,0.996667,-0.000000,0.000000,0.000000,1.000000,0.996667,0.081582,-0.000000,0.0336
3,0.2308,0.0478,0.0200,0.0100,-0.0248,-0.0806,0.4272,-1,-0.114925,0.993173,-0.019967,0.366398,0.061064,0.928452,0.923333,0.099386,-0.370915,0.0843
