Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base1_link,0.13794,0.053728,0.43381,0,0,0,11.951,0.040481,-4.1612E-08,0.00013797,0.04551,1.0214E-07,0.022497,0,0,0,0,0,0,package://aubo_urdf/meshes/base1_link.STL,1,1,1,1,0,0,0,0,0,0,package://aubo_urdf/meshes/base1_link.STL,,i5-外发模型-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
camera_Link,-0.0005963,0.085972,-0.026401,0,0,0,0.72743,0.00064649,2.7688E-06,-2.0272E-05,0.0013072,8.2399E-05,0.0014971,0,0,0,0,0,0,package://aubo_urdf/meshes/camera_Link.STL,1,1,1,1,0,0,0,0,0,0,package://aubo_urdf/meshes/camera_Link.STL,,相机安装板-1;PS800-E1_RGBD-1,Origin_camera_joint,,camera_joint,fixed,0.28779,0.053728,1.0181,1.5708,0,1.5708,base1_link,0,0,0,,,,,,,,,,,,
kuaihuan_Link,-0.00074639,7.4616E-05,0.0097884,0,0,0,0.21939,6.3771E-05,4.2875E-07,-1.7848E-07,6.9403E-05,-4.5085E-07,0.0001149,0,0,0,0,0,0,package://aubo_urdf/meshes/kuaihuan_Link.STL,1,1,1,1,0,0,0,0,0,0,package://aubo_urdf/meshes/kuaihuan_Link.STL,,STW-X20DY-主盘装配体-1;STW-X20DYF-副盘装配体-1;HFKL20缸打印法兰-1,Origin_kuaihuan_joint,,kuaihuan_joint,fixed,0,0,0.0215,0,0,3.1416,camera_Link,0,0,0,,,,,,,,,,,,
grap_Link,-1.7896E-05,0.034049,2.2204E-16,0,0,0,0.1827,8.3598E-05,1.9801E-07,-1.0929E-07,4.5508E-05,3.0889E-08,0.00010397,0,0,0,0,0,0,package://aubo_urdf/meshes/grap_Link.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://aubo_urdf/meshes/grap_Link.STL,,HFKL20_OP气动夹爪装配-1/_HFKL20_body-1,Origin_grap_joint,,grap_joint,fixed,0,0,0.031,1.5708,0,-3.1241,kuaihuan_Link,0,0,0,,,,,,,,,,,,
grap0_Link,0.0054631,0.023534,3.0043E-07,0,0,0,0.032548,3.7445E-06,3.3476E-07,1.7283E-13,8.7532E-07,2.3846E-11,3.5313E-06,0,0,0,0,0,0,package://aubo_urdf/meshes/grap0_Link.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://aubo_urdf/meshes/grap0_Link.STL,,HFKL20_OP气动夹爪装配-1/_20(OP)_finger-2;HFKL20_OP气动夹爪装配-1/外购D20夹头-1;HFKL20_OP气动夹爪装配-1/六角螺栓M4X15-4;HFKL20_OP气动夹爪装配-1/六角螺栓M4X15-1;HFKL20_OP气动夹爪装配-1/弹簧垫圈4-1;HFKL20_OP气动夹爪装配-1/普通平垫4-1;HFKL20_OP气动夹爪装配-1/弹簧垫圈4-4;HFKL20_OP气动夹爪装配-1/普通平垫4-4,Origin_grap0_joint2,,grap0_joint,prismatic,-0.009,0.06556,0,-3.1416,0,-3.1416,grap_Link,0,0,0,0,0,0,0,,,,,,,,
grap1_Link,0.0054631,0.023533,2.0614E-07,0,0,0,0.032548,3.7444E-06,3.3472E-07,-7.6637E-11,8.7529E-07,-1.1804E-11,3.5313E-06,0,0,0,0,0,0,package://aubo_urdf/meshes/grap1_Link.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://aubo_urdf/meshes/grap1_Link.STL,,HFKL20_OP气动夹爪装配-1/_20(OP)_finger-3;HFKL20_OP气动夹爪装配-1/六角螺栓M4X15-6;HFKL20_OP气动夹爪装配-1/六角螺栓M4X15-3;HFKL20_OP气动夹爪装配-1/弹簧垫圈4-3;HFKL20_OP气动夹爪装配-1/弹簧垫圈4-6;HFKL20_OP气动夹爪装配-1/普通平垫4-6;HFKL20_OP气动夹爪装配-1/外购D20夹头-2;HFKL20_OP气动夹爪装配-1/普通平垫4-3,Origin_grap1_joint,,grap1_joint,prismatic,0.009,0.06556,0,0,0,0,grap_Link,0,0,0,0,0,0,0,,,,,,,,
