角点序号	像素坐标 U	像素坐标 V	相机坐标 X(mm)	相机坐标 Y(mm)	相机坐标 Z(mm)	相邻距离(mm)
0	759.24	758.59	-136.378	-56.423	720.003	15.006
1	761.72	845.92	-135.933	-41.424	720.003	15.017
2	764.32	933.34	-135.472	-26.414	720.003	14.982
3	766.98	1020.57	-135.005	-11.439	720.003	14.973
4	769.60	1107.77	-134.552	3.527	720.003	14.983
5	772.29	1195.03	-134.094	18.503	720.003	14.959
6	775.07	1282.14	-133.626	33.455	720.003	14.952
7	777.75	1369.18	-133.179	48.400	720.003	14.935
8	780.64	1456.09	-132.702	63.328	720.003	14.920
9	783.42	1542.86	-132.250	78.240	720.003	14.924
10	786.28	1629.61	-131.788	93.157	720.003	14.924
11	671.81	761.16	-151.446	-56.003	720.003	15.007
12	674.44	848.46	-150.974	-41.004	720.003	14.996
13	677.11	935.72	-150.498	-26.015	720.003	15.014
14	679.67	1023.12	-150.050	-11.007	720.003	14.981
15	682.38	1110.33	-149.581	3.966	720.003	14.977
16	685.21	1197.51	-149.098	18.936	720.003	14.956
17	687.83	1284.57	-148.657	33.886	720.003	14.959
18	690.68	1371.61	-148.182	48.837	720.003	14.945
19	693.52	1458.55	-147.715	63.775	720.003	14.939
20	696.38	1545.40	-147.252	78.707	720.003	14.926
21	699.30	1632.13	-146.782	93.625	720.003	14.926
22	584.56	763.54	-166.502	-55.619	720.003	15.026
23	587.22	850.90	-166.022	-40.602	720.003	15.020
24	589.77	938.27	-165.566	-25.589	720.003	15.003
25	592.47	1025.56	-165.092	-10.593	720.003	14.999
26	595.23	1112.83	-164.615	4.398	720.003	14.974
27	597.93	1199.96	-164.153	19.365	720.003	14.972
28	600.74	1287.07	-163.680	34.330	720.003	14.962
29	603.59	1374.09	-163.208	49.285	720.003	14.947
30	606.47	1461.00	-162.735	64.224	720.003	14.937
31	609.40	1547.80	-162.260	79.153	720.003	14.939
32	612.31	1634.57	-161.795	94.085	720.003	14.939
33	497.36	766.01	-181.567	-55.219	720.003	15.047
34	499.92	853.47	-181.102	-40.180	720.003	15.006
35	502.60	940.71	-180.623	-25.181	720.003	15.013
36	505.37	1028.01	-180.136	-10.176	720.003	15.015
37	508.08	1115.34	-179.665	4.831	720.003	14.979
38	510.89	1202.45	-179.186	19.802	720.003	14.972
39	513.65	1289.52	-178.723	34.767	720.003	14.968
40	516.58	1376.53	-178.236	49.727	720.003	14.958
41	519.49	1463.46	-177.759	64.677	720.003	14.948
42	522.42	1550.30	-177.287	79.618	720.003	14.926
43	525.42	1636.95	-176.808	94.537	720.003	14.926
44	410.13	768.57	-196.656	-54.806	720.003	15.023
45	412.74	855.84	-196.180	-39.791	720.003	15.050
46	415.46	943.30	-195.694	-24.749	720.003	15.002
47	418.20	1030.49	-195.210	-9.755	720.003	15.000
48	421.05	1117.69	-194.716	5.238	720.003	15.003
49	423.76	1204.90	-194.254	20.233	720.003	14.983
50	426.65	1291.98	-193.768	35.208	720.003	14.969
51	429.54	1378.97	-193.288	50.170	720.003	14.963
52	432.52	1465.88	-192.802	65.125	720.003	14.950
53	435.49	1552.69	-192.322	80.067	720.003	14.952
54	438.50	1639.45	-191.844	95.011	720.003	14.952
55	322.89	771.10	-211.766	-54.399	720.003	15.040
56	325.60	858.42	-211.272	-39.367	720.003	15.028
57	328.31	945.71	-210.786	-24.347	720.003	15.030
58	331.11	1033.02	-210.291	-9.325	720.003	15.009
59	333.86	1120.22	-209.814	5.676	720.003	14.998
60	336.71	1207.36	-209.326	20.667	720.003	14.989
61	339.58	1294.44	-208.845	35.648	720.003	14.982
62	342.58	1381.45	-208.348	50.622	720.003	14.968
63	345.54	1468.35	-207.865	65.582	720.003	14.963
64	348.54	1555.18	-207.382	80.537	720.003	14.936
65	351.60	1641.81	-206.896	95.465	720.003	14.936
66	235.73	773.55	-226.883	-54.006	720.003	15.053
67	238.48	860.91	-226.380	-38.961	720.003	15.044
68	241.41	948.23	-225.854	-23.926	720.003	15.029
69	244.03	1035.49	-225.391	-8.905	720.003	15.004
70	246.84	1122.62	-224.903	6.091	720.003	15.013
71	249.72	1209.79	-224.411	21.097	720.003	15.001
72	252.68	1296.89	-223.912	36.090	720.003	14.977
73	255.63	1383.83	-223.425	51.059	720.003	14.984
74	258.63	1470.78	-222.935	66.035	720.003	14.963
75	261.73	1557.57	-222.436	80.990	720.003	14.959
76	264.81	1644.29	-221.948	95.940	720.003	14.959
77	148.67	776.07	-242.004	-53.602	720.003	15.067
78	151.44	863.45	-241.495	-38.543	720.003	15.037
79	154.13	950.70	-241.011	-23.514	720.003	15.045
80	157.00	1038.00	-240.503	-8.477	720.003	15.014
81	159.84	1125.14	-240.009	6.529	720.003	15.017
82	162.80	1212.29	-239.502	21.538	720.003	15.001
83	165.75	1299.33	-239.007	36.531	720.003	14.997
84	168.72	1386.34	-238.515	51.520	720.003	14.984
85	171.77	1473.24	-238.018	66.496	720.003	14.967
86	174.94	1560.01	-237.508	81.454	720.003	14.956
87	178.03	1646.67	-237.019	96.402	720.003	14.956
