角点序号,RGB像素坐标U,RGB像素坐标V,Depth像素坐标U,Depth像素坐标V,Depth值(mm)
0,247.73,245.58,247.73,245.58,491.50
1,266.44,245.90,266.44,245.90,489.25
2,285.42,246.36,285.42,246.36,487.50
3,304.38,246.54,304.38,246.54,485.75
4,323.46,246.82,323.46,246.82,484.00
5,342.58,247.31,342.58,247.31,482.50
6,362.05,247.51,362.05,247.51,480.50
7,381.55,247.75,381.55,247.75,478.50
8,401.22,248.24,401.22,248.24,477.00
9,421.05,248.50,421.05,248.50,475.75
10,441.05,248.70,441.05,248.70,474.00
11,247.55,264.59,247.55,264.59,491.25
12,266.27,264.90,266.27,264.90,489.75
13,285.20,265.42,285.20,265.42,488.25
14,304.11,265.64,304.11,265.64,486.50
15,323.23,266.20,323.23,266.20,484.25
16,342.44,266.50,342.44,266.50,483.25
17,361.64,266.80,361.64,266.80,480.75
18,381.27,267.33,381.27,267.33,478.75
19,400.92,267.61,400.92,267.61,477.00
20,420.61,267.95,420.61,267.95,476.25
21,440.56,268.48,440.56,268.48,474.25
22,247.34,283.59,247.34,283.59,492.50
23,266.11,283.89,266.11,283.89,490.00
24,284.85,284.47,284.85,284.47,488.25
25,303.72,284.76,303.72,284.76,486.50
26,322.81,285.38,322.81,285.38,485.00
27,342.13,285.67,342.13,285.67,483.25
28,361.49,286.26,361.49,286.26,481.75
29,380.85,286.66,380.85,286.66,479.75
30,400.56,287.10,400.56,287.10,477.50
31,420.36,287.62,420.36,287.62,475.75
32,440.33,288.19,440.33,288.19,474.75
33,247.14,302.48,247.14,302.48,492.25
34,265.80,303.06,265.80,303.06,490.75
35,284.58,303.50,284.58,303.50,488.75
36,303.52,303.90,303.52,303.90,487.25
37,322.56,304.53,322.56,304.53,485.50
38,341.70,304.88,341.70,304.88,483.50
39,361.13,305.57,361.13,305.57,481.75
40,380.65,306.08,380.65,306.08,480.00
41,400.33,306.60,400.33,306.60,477.25
42,419.98,307.22,419.98,307.22,476.75
43,439.79,307.65,439.79,307.65,475.25
44,246.93,321.41,246.93,321.41,492.50
45,265.58,321.87,265.58,321.87,490.25
46,284.35,322.49,284.35,322.49,489.00
47,303.38,323.20,303.38,323.20,487.00
48,322.43,323.67,322.43,323.67,485.50
49,341.56,324.30,341.56,324.30,483.75
50,360.83,324.85,360.83,324.85,482.00
51,380.35,325.46,380.35,325.46,480.50
52,399.81,325.91,399.81,325.91,478.25
53,419.63,326.65,419.63,326.65,477.00
54,439.54,327.31,439.54,327.31,475.00
55,246.70,340.31,246.70,340.31,492.75
56,265.42,340.96,265.42,340.96,491.25
57,284.08,341.53,284.08,341.53,489.50
58,303.17,342.09,303.17,342.09,487.50
59,322.14,342.73,322.14,342.73,485.75
60,341.28,343.47,341.28,343.47,484.50
61,360.58,344.04,360.58,344.04,482.75
62,380.10,344.78,380.10,344.78,480.75
63,399.63,345.43,399.63,345.43,478.75
64,419.37,346.01,419.37,346.01,477.25
65,439.24,346.76,439.24,346.76,475.25
66,246.51,359.18,246.51,359.18,493.00
67,265.24,359.77,265.24,359.77,491.50
68,283.77,360.50,283.77,360.50,489.50
69,302.82,361.22,302.82,361.22,488.00
70,321.71,361.78,321.71,361.78,486.25
71,340.87,362.60,340.87,362.60,484.50
72,360.34,363.35,360.34,363.35,482.00
73,379.65,364.04,379.65,364.04,480.50
74,399.36,364.75,399.36,364.75,478.75
75,419.06,365.56,419.06,365.56,477.25
76,438.86,366.33,438.86,366.33,475.50
77,246.34,377.86,246.34,377.86,493.75
78,264.93,378.66,264.93,378.66,492.00
79,283.58,379.43,283.58,379.43,490.25
80,302.53,380.16,302.53,380.16,488.25
81,321.52,380.87,321.52,380.87,486.25
82,340.72,381.69,340.72,381.69,484.75
83,360.01,382.56,360.01,382.56,483.75
84,379.39,383.31,379.39,383.31,481.25
85,398.85,384.19,398.85,384.19,479.50
86,418.64,385.00,418.64,385.00,477.50
87,438.50,385.71,438.50,385.71,476.00
