棋盘格姿态,末端json文件,角点索引,相机坐标系X(mm),相机坐标系Y(mm),相机坐标系Z(mm),实际X(mm),实际Y(mm),实际Z(mm),计算X(mm),计算Y(mm),计算Z(mm),实际与计算误差(mm)
chessboard_pose_1,robot_status_2025-11-03_23-26-38.json,12,-19.846000,104.271000,720.003000,-9.645000,439.544000,-66.182000,-10.644758,439.534451,-66.119651,1.001746
chessboard_pose_1,robot_status_2025-11-03_23-31-18.json,49,-40.025000,32.065000,720.003000,-34.142000,510.935000,-66.190000,-34.961308,510.453140,-65.740798,1.051302
chessboard_pose_2,robot_status_2025-11-03_23-45-11.json,77,23.616000,-49.614000,720.003000,23.046000,595.489000,-66.188000,23.854122,595.672707,-65.660381,0.982442
chessboard_pose_2,robot_status_2025-11-03_23-47-54.json,20,158.018000,-140.304000,720.003000,152.940000,693.542000,-65.454000,152.791150,693.977278,-65.827724,0.592700
chessboard_pose_2,robot_status_2025-11-03_23-49-25.json,0,23.096000,-154.684000,720.003000,16.631000,700.641000,-65.456000,17.264964,700.536280,-65.225227,0.682739
chessboard_pose_2,robot_status_2025-11-03_23-51-39.json,38,98.204000,-109.966000,720.003000,94.275000,659.676000,-65.460000,94.830257,660.233680,-65.711941,0.826312
chessboard_pose_3,robot_status_2025-11-04_00-06-46.json,0,-136.378000,-56.423000,720.003000,-135.600000,593.880000,-64.845000,-136.264575,593.224561,-64.988142,0.944325
chessboard_pose_3,robot_status_2025-11-04_00-13-44.json,10,-131.788000,93.157000,720.003000,-123.676000,444.086000,-65.122000,-123.040851,444.160902,-65.623137,0.812504
