棋盘格姿态,末端json文件,角点索引,相机坐标系X(mm),相机坐标系Y(mm),相机坐标系Z(mm),实际X(mm),实际Y(mm),实际Z(mm),计算X(mm),计算Y(mm),计算Z(mm),实际与计算误差(mm)
chessboard_pose_1,robot_status_2025-11-03_23-26-38.json,12,-19.846000,104.271000,720.003000,-9.645000,439.544000,-66.182000,-10.560772,439.408847,-66.020465,0.939680
chessboard_pose_1,robot_status_2025-11-03_23-28-45.json,77,46.993000,42.103000,720.003000,54.097000,505.228000,-66.184000,52.594811,505.315465,-65.973430,1.519395
chessboard_pose_1,robot_status_2025-11-03_23-31-18.json,49,-40.025000,32.065000,720.003000,-34.142000,510.935000,-66.190000,-34.855916,510.335230,-65.716170,1.045904
chessboard_pose_2,robot_status_2025-11-03_23-45-11.json,77,23.616000,-49.614000,720.003000,23.046000,595.489000,-66.188000,23.985697,595.536670,-65.592666,1.113429
chessboard_pose_2,robot_status_2025-11-03_23-47-54.json,20,158.018000,-140.304000,720.003000,152.940000,693.542000,-65.454000,152.953247,693.801332,-65.618236,0.307249
chessboard_pose_2,robot_status_2025-11-03_23-49-25.json,0,23.096000,-154.684000,720.003000,16.631000,700.641000,-65.456000,17.428344,700.402489,-65.223498,0.864120
chessboard_pose_2,robot_status_2025-11-03_23-51-39.json,38,98.204000,-109.966000,720.003000,94.275000,659.676000,-65.460000,94.981806,660.075694,-65.571768,0.819648
chessboard_pose_2,robot_status_2025-11-03_23-53-12.json,87,173.124000,-50.408000,720.003000,172.711000,603.986000,-65.463000,173.200412,604.922710,-65.971513,1.172832
chessboard_pose_3,robot_status_2025-11-04_00-06-46.json,0,-136.378000,-56.423000,720.003000,-135.600000,593.880000,-64.845000,-136.134582,593.138308,-65.160436,0.967153
chessboard_pose_3,robot_status_2025-11-04_00-13-44.json,10,-131.788000,93.157000,720.003000,-123.676000,444.086000,-65.122000,-122.956049,444.070256,-65.695818,0.920785
