角点序号,RGB像素坐标U,RGB像素坐标V,Depth像素坐标U,Depth像素坐标V,Depth值(mm)
0,316.83,172.17,316.83,172.17,385.25
1,338.35,180.68,338.35,180.68,379.75
2,360.44,189.48,360.44,189.48,374.50
3,383.24,198.49,383.24,198.49,368.75
4,406.66,207.74,406.66,207.74,363.00
5,430.81,217.38,430.81,217.38,357.75
6,455.73,227.27,455.73,227.27,352.00
7,481.50,237.43,481.50,237.43,346.75
8,507.98,247.86,507.98,247.86,341.00
9,535.45,258.70,535.45,258.70,335.75
10,563.76,269.90,563.76,269.90,330.00
11,308.83,194.82,308.83,194.82,389.50
12,329.98,203.60,329.98,203.60,384.00
13,351.70,212.57,351.70,212.57,378.25
14,374.12,221.87,374.12,221.87,373.00
15,397.17,231.42,397.17,231.42,367.25
16,420.86,241.22,420.86,241.22,362.25
17,445.38,251.34,445.38,251.34,356.50
18,470.60,261.75,470.60,261.75,350.75
19,496.66,272.55,496.66,272.55,345.00
20,523.58,283.63,523.58,283.63,339.50
21,551.37,295.20,551.37,295.20,334.25
22,300.97,217.09,300.97,217.09,393.75
23,321.75,226.01,321.75,226.01,387.75
24,343.19,235.30,343.19,235.30,382.50
25,365.23,244.74,365.23,244.74,376.75
26,387.80,254.49,387.80,254.49,371.25
27,411.24,264.54,411.24,264.54,366.50
28,435.30,274.91,435.30,274.91,360.75
29,460.10,285.62,460.10,285.62,355.00
30,485.63,296.61,485.63,296.61,349.25
31,512.01,307.93,512.01,307.93,344.25
32,539.30,319.73,539.30,319.73,338.50
33,293.32,238.79,293.32,238.79,397.25
34,313.72,247.94,313.72,247.94,392.00
35,334.75,257.41,334.75,257.41,386.50
36,356.43,267.16,356.43,267.16,381.25
37,378.66,277.11,378.66,277.11,375.50
38,401.71,287.37,401.71,287.37,370.00
39,425.43,297.95,425.43,297.95,365.00
40,449.68,308.87,449.68,308.87,359.25
41,474.75,320.20,474.75,320.20,353.50
42,500.71,331.72,500.71,331.72,348.25
43,527.43,343.70,527.43,343.70,343.00
44,285.72,260.11,285.72,260.11,401.75
45,305.85,269.45,305.85,269.45,396.00
46,326.58,279.13,326.58,279.13,390.75
47,347.84,288.96,347.84,288.96,385.50
48,369.78,299.22,369.78,299.22,379.50
49,392.48,309.70,392.48,309.70,374.50
50,415.60,320.51,415.60,320.51,369.00
51,439.59,331.64,439.59,331.64,363.25
52,464.27,343.18,464.27,343.18,357.75
53,489.67,354.94,489.67,354.94,352.25
54,515.91,367.20,515.91,367.20,346.75
55,278.42,280.93,278.42,280.93,406.00
56,298.23,290.52,298.23,290.52,400.50
57,318.56,300.35,318.56,300.35,394.50
58,339.54,310.47,339.54,310.47,388.75
59,361.16,320.83,361.16,320.83,383.75
60,383.37,331.55,383.37,331.55,378.75
61,406.25,342.56,406.25,342.56,373.00
62,429.74,353.85,429.74,353.85,367.50
63,453.91,365.57,453.91,365.57,361.50
64,478.92,377.60,478.92,377.60,356.25
65,504.67,390.04,504.67,390.04,350.50
66,271.14,301.45,271.14,301.45,410.00
67,290.66,311.19,290.66,311.19,404.25
68,310.73,321.19,310.73,321.19,399.25
69,331.40,331.48,331.40,331.48,393.50
70,352.56,342.07,352.56,342.07,388.25
71,374.50,352.88,374.50,352.88,382.00
72,397.00,364.15,397.00,364.15,377.50
73,420.08,375.67,420.08,375.67,371.50
74,443.85,387.52,443.85,387.52,366.00
75,468.41,399.72,468.41,399.72,361.00
76,493.68,412.38,493.68,412.38,355.00
77,264.04,321.51,264.04,321.51,415.00
78,283.30,331.38,283.30,331.38,409.25
79,303.06,341.50,303.06,341.50,403.75
80,323.41,352.05,323.41,352.05,397.75
81,344.27,362.74,344.27,362.74,392.75
82,365.76,373.75,365.76,373.75,386.75
83,387.84,385.22,387.84,385.22,381.50
84,410.55,396.88,410.55,396.88,376.25
85,434.06,409.03,434.06,409.03,369.50
86,458.12,421.36,458.12,421.36,364.50
87,482.93,434.19,482.93,434.19,359.25
