角点序号,RGB像素坐标U,RGB像素坐标V,Depth像素坐标U,Depth像素坐标V,Depth值(mm)
0,285.72,228.60,285.72,228.60,550.00
1,301.15,228.87,301.15,228.87,542.50
2,316.73,229.27,316.73,229.27,534.50
3,333.03,229.48,333.03,229.48,526.75
4,349.63,229.64,349.63,229.64,519.00
5,366.79,230.05,366.79,230.05,510.75
6,384.61,230.39,384.61,230.39,503.25
7,402.91,230.56,402.91,230.56,495.25
8,421.65,230.93,421.65,230.93,488.00
9,441.24,231.33,441.24,231.33,479.75
10,461.31,231.54,461.31,231.54,472.50
11,285.70,245.55,285.70,245.55,551.50
12,301.10,246.16,301.10,246.16,543.25
13,316.65,246.55,316.65,246.55,535.25
14,332.89,247.19,332.89,247.19,528.75
15,349.53,247.59,349.53,247.59,520.25
16,366.65,248.30,366.65,248.30,511.50
17,384.44,248.68,384.44,248.68,504.50
18,402.65,249.42,402.65,249.42,496.25
19,421.45,249.89,421.45,249.89,488.75
20,440.86,250.56,440.86,250.56,481.50
21,460.89,251.26,460.89,251.26,473.75
22,285.70,262.46,285.70,262.46,551.75
23,301.00,263.25,301.00,263.25,543.50
24,316.61,263.88,316.61,263.88,536.00
25,332.71,264.64,332.71,264.64,528.50
26,349.48,265.50,349.48,265.50,521.25
27,366.54,266.38,366.54,266.38,512.25
28,384.17,267.21,384.17,267.21,505.50
29,402.37,267.97,402.37,267.97,498.25
30,421.18,268.84,421.18,268.84,489.75
31,440.45,269.84,440.45,269.84,481.75
32,460.46,270.85,460.46,270.85,474.50
33,285.69,279.26,285.69,279.26,552.50
34,300.96,280.24,300.96,280.24,545.25
35,316.54,281.23,316.54,281.23,537.25
36,332.63,282.26,332.63,282.26,530.25
37,349.36,283.30,349.36,283.30,521.75
38,366.42,284.36,366.42,284.36,514.50
39,383.87,285.48,383.87,285.48,506.00
40,402.22,286.64,402.22,286.64,499.00
41,420.72,287.83,420.72,287.83,491.25
42,440.22,289.15,440.22,289.15,483.75
43,460.07,290.37,460.07,290.37,475.25
44,285.71,295.98,285.71,295.98,554.00
45,300.90,297.20,300.90,297.20,545.75
46,316.51,298.41,316.51,298.41,538.50
47,332.53,299.65,332.53,299.65,530.50
48,349.16,300.98,349.16,300.98,523.75
49,366.17,302.36,366.17,302.36,514.50
50,383.78,303.71,383.78,303.71,507.00
51,401.83,305.24,401.83,305.24,499.50
52,420.54,306.62,420.54,306.62,491.75
53,439.71,308.16,439.71,308.16,483.25
54,459.68,309.74,459.68,309.74,476.75
55,285.69,312.66,285.69,312.66,554.50
56,300.87,314.16,300.87,314.16,547.50
57,316.48,315.56,316.48,315.56,539.25
58,332.53,317.14,332.53,317.14,532.00
59,348.88,318.64,348.88,318.64,524.00
60,365.95,320.32,365.95,320.32,516.50
61,383.53,321.91,383.53,321.91,507.75
62,401.58,323.60,401.58,323.60,501.00
63,420.30,325.41,420.30,325.41,492.75
64,439.44,327.23,439.44,327.23,485.00
65,459.32,329.11,459.32,329.11,477.75
66,285.69,329.34,285.69,329.34,556.25
67,300.80,330.92,300.80,330.92,548.25
68,316.45,332.64,316.45,332.64,540.25
69,332.42,334.43,332.42,334.43,532.50
70,348.78,336.25,348.78,336.25,525.25
71,365.89,338.11,365.89,338.11,517.25
72,383.40,340.04,383.40,340.04,510.50
73,401.34,341.98,401.34,341.98,501.75
74,419.82,344.07,419.82,344.07,494.50
75,439.14,346.18,439.14,346.18,486.50
76,458.83,348.34,458.83,348.34,478.50
77,285.67,345.83,285.67,345.83,557.00
78,300.78,347.72,300.78,347.72,549.25
79,316.39,349.67,316.39,349.67,542.25
80,332.33,351.67,332.33,351.67,534.75
81,348.74,353.71,348.74,353.71,526.25
82,365.64,355.82,365.64,355.82,518.00
83,383.03,358.03,383.03,358.03,510.50
84,401.21,360.36,401.21,360.36,503.00
85,419.64,362.61,419.64,362.61,494.50
86,438.79,365.01,438.79,365.01,487.50
87,458.51,367.50,458.51,367.50,478.25
