角点序号,RGB像素坐标U,RGB像素坐标V,Depth像素坐标U,Depth像素坐标V,Depth值(mm)
0,247.06,244.97,247.06,244.97,491.25
1,265.91,245.40,265.91,245.40,489.25
2,284.65,245.57,284.65,245.57,487.50
3,303.62,245.94,303.62,245.94,485.75
4,322.74,246.37,322.74,246.37,483.75
5,342.11,246.56,342.11,246.56,483.00
6,361.48,246.90,361.48,246.90,481.00
7,380.84,247.37,380.84,247.37,479.25
8,400.62,247.56,400.62,247.56,477.00
9,420.43,247.88,420.43,247.88,476.00
10,440.34,248.35,440.34,248.35,474.25
11,246.79,263.84,246.79,263.84,491.00
12,265.63,264.40,265.63,264.40,490.00
13,284.46,264.64,284.46,264.64,488.25
14,303.48,265.18,303.48,265.18,486.25
15,322.51,265.52,322.51,265.52,484.00
16,341.68,265.83,341.68,265.83,483.00
17,361.18,266.39,361.18,266.39,481.00
18,380.61,266.62,380.61,266.62,478.50
19,400.27,267.11,400.27,267.11,477.25
20,420.08,267.52,420.08,267.52,475.75
21,440.06,267.86,440.06,267.86,474.50
22,246.65,282.88,246.65,282.88,492.00
23,265.37,283.38,265.37,283.38,489.50
24,284.34,283.70,284.34,283.70,488.25
25,303.28,284.31,303.28,284.31,486.75
26,322.36,284.63,322.36,284.63,485.00
27,341.49,285.24,341.49,285.24,483.50
28,360.71,285.59,360.71,285.59,482.00
29,380.31,286.08,380.31,286.08,480.25
30,400.04,286.59,400.04,286.59,477.75
31,419.63,287.09,419.63,287.09,476.25
32,439.54,287.51,439.54,287.51,474.75
33,246.50,301.87,246.50,301.87,492.00
34,265.11,302.34,265.11,302.34,490.75
35,284.08,302.84,284.08,302.84,488.75
36,302.93,303.38,302.93,303.38,487.00
37,321.96,303.81,321.96,303.81,485.75
38,341.24,304.41,341.24,304.41,483.75
39,360.55,304.88,360.55,304.88,481.25
40,379.99,305.49,379.99,305.49,480.25
41,399.56,306.16,399.56,306.16,477.50
42,419.34,306.52,419.34,306.52,476.50
43,439.20,307.09,439.20,307.09,475.00
44,246.35,320.67,246.35,320.67,492.25
45,264.79,321.38,264.79,321.38,490.75
46,283.74,321.91,283.74,321.91,489.00
47,302.60,322.47,302.60,322.47,486.75
48,321.62,323.16,321.62,323.16,485.75
49,340.76,323.64,340.76,323.64,484.25
50,360.19,324.31,360.19,324.31,482.75
51,379.67,324.80,379.67,324.80,480.25
52,399.33,325.47,399.33,325.47,478.25
53,419.08,326.03,419.08,326.03,477.00
54,438.86,326.61,438.86,326.61,476.00
55,246.02,339.56,246.02,339.56,492.75
56,264.60,340.28,264.60,340.28,490.75
57,283.46,340.85,283.46,340.85,489.25
58,302.40,341.54,302.40,341.54,487.50
59,321.48,342.15,321.48,342.15,486.00
60,340.60,342.73,340.60,342.73,484.25
61,359.95,343.51,359.95,343.51,482.50
62,379.41,344.18,379.41,344.18,480.75
63,398.87,344.81,398.87,344.81,479.25
64,418.60,345.52,418.60,345.52,477.25
65,438.49,346.25,438.49,346.25,475.75
66,245.69,358.44,245.69,358.44,493.25
67,264.44,359.15,264.44,359.15,491.25
68,283.21,359.76,283.21,359.76,490.25
69,302.23,360.53,302.23,360.53,488.25
70,321.24,361.35,321.24,361.35,486.25
71,340.30,361.90,340.30,361.90,484.25
72,359.58,362.66,359.58,362.66,482.50
73,378.91,363.44,378.91,363.44,480.50
74,398.55,364.25,398.55,364.25,479.25
75,418.28,364.85,418.28,364.85,477.25
76,438.16,365.63,438.16,365.63,476.25
77,245.51,377.26,245.51,377.26,493.50
78,264.18,378.06,264.18,378.06,492.50
79,282.89,378.74,282.89,378.74,489.75
80,301.91,379.55,301.91,379.55,488.50
81,320.78,380.39,320.78,380.39,486.50
82,339.97,381.07,339.97,381.07,485.00
83,359.38,381.84,359.38,381.84,484.00
84,378.73,382.71,378.73,382.71,481.25
85,398.28,383.51,398.28,383.51,479.50
86,417.85,384.29,417.85,384.29,477.50
87,437.69,385.18,437.69,385.18,476.50
