角点序号,RGB像素坐标U,RGB像素坐标V,Depth像素坐标U,Depth像素坐标V,Depth值(mm)
0,188.38,305.41,188.38,305.41,515.25
1,206.32,305.69,206.32,305.69,514.00
2,224.32,305.84,224.32,305.84,512.50
3,242.37,306.34,242.37,306.34,511.50
4,260.45,306.53,260.45,306.53,511.00
5,278.62,306.86,278.62,306.86,509.25
6,296.89,307.05,296.89,307.05,509.25
7,315.25,307.41,315.25,307.41,508.00
8,333.51,307.68,333.51,307.68,506.25
9,351.78,307.91,351.78,307.91,505.75
10,370.37,308.25,370.37,308.25,505.75
11,186.11,323.55,186.11,323.55,507.00
12,204.33,323.77,204.33,323.77,507.25
13,222.52,324.29,222.52,324.29,505.50
14,240.80,324.53,240.80,324.53,505.00
15,259.22,324.75,259.22,324.75,504.25
16,277.59,325.25,277.59,325.25,503.50
17,296.16,325.48,296.16,325.48,502.25
18,314.55,325.84,314.55,325.84,501.25
19,333.20,326.24,333.20,326.24,500.50
20,351.74,326.45,351.74,326.45,499.50
21,370.53,326.75,370.53,326.75,498.75
22,183.83,342.25,183.83,342.25,502.00
23,202.30,342.57,202.30,342.57,500.25
24,220.68,343.03,220.68,343.03,499.25
25,239.28,343.32,239.28,343.32,497.75
26,257.85,343.57,257.85,343.57,497.50
27,276.49,344.09,276.49,344.09,496.75
28,295.26,344.34,295.26,344.34,496.25
29,314.07,344.70,314.07,344.70,494.75
30,332.72,344.98,332.72,344.98,494.00
31,351.73,345.44,351.73,345.44,492.75
32,370.72,345.84,370.72,345.84,492.75
33,181.47,361.41,181.47,361.41,494.50
34,200.17,361.73,200.17,361.73,493.50
35,218.83,362.23,218.83,362.23,492.75
36,237.63,362.56,237.63,362.56,492.00
37,256.46,363.01,256.46,363.01,490.50
38,275.43,363.32,275.43,363.32,489.75
39,294.34,363.73,294.34,363.73,488.75
40,313.43,364.12,313.43,364.12,489.00
41,332.51,364.56,332.51,364.56,487.25
42,351.66,364.83,351.66,364.83,486.25
43,370.80,365.35,370.80,365.35,485.50
44,179.14,381.09,179.14,381.09,488.25
45,197.97,381.49,197.97,381.49,487.00
46,216.92,381.86,216.92,381.86,486.25
47,235.93,382.39,235.93,382.39,485.00
48,255.12,382.73,255.12,382.73,484.50
49,274.29,383.29,274.29,383.29,483.25
50,293.50,383.68,293.50,383.68,482.25
51,312.76,384.06,312.76,384.06,481.00
52,332.09,384.56,332.09,384.56,480.25
53,351.53,385.01,351.53,385.01,480.00
54,370.96,385.40,370.96,385.40,479.00
55,176.57,401.36,176.57,401.36,480.25
56,195.70,401.74,195.70,401.74,480.00
57,214.95,402.30,214.95,402.30,478.75
58,234.31,402.69,234.31,402.69,478.25
59,253.63,403.24,253.63,403.24,476.75
60,273.04,403.68,273.04,403.68,476.25
61,292.56,404.15,292.56,404.15,475.50
62,312.24,404.58,312.24,404.58,475.00
63,331.73,405.20,331.73,405.20,473.75
64,351.49,405.59,351.49,405.59,472.75
65,371.26,406.03,371.26,406.03,471.75
66,173.99,422.15,173.99,422.15,473.75
67,193.45,422.63,193.45,422.63,472.75
68,212.95,423.20,212.95,423.20,472.25
69,232.46,423.65,232.46,423.65,471.50
70,252.24,424.25,252.24,424.25,471.00
71,271.76,424.72,271.76,424.72,469.25
72,291.59,425.22,291.59,425.22,469.25
73,311.45,425.68,311.45,425.68,468.25
74,331.41,426.36,331.41,426.36,467.50
75,351.42,426.70,351.42,426.70,466.25
76,371.49,427.32,371.49,427.32,465.75
77,171.36,443.55,171.36,443.55,467.25
78,191.11,444.10,191.11,444.10,467.00
79,210.86,444.63,210.86,444.63,465.25
80,230.65,445.26,230.65,445.26,464.75
81,250.64,445.74,250.64,445.74,463.75
82,270.64,446.42,270.64,446.42,463.00
83,290.68,446.89,290.68,446.89,462.25
84,310.84,447.43,310.84,447.43,461.50
85,330.99,448.11,330.99,448.11,460.50
86,351.27,448.56,351.27,448.56,459.75
87,371.65,449.29,371.65,449.29,459.25
